Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2014,7,1,4170.85148858,3915.25078858,3766.84478858,3735.73678858,3782.27418858,4090.64078858,4792.93748858,5802.58918858,6094.45350998,5733.034882280001,5285.541061180001,4927.826220180001,4756.10963548,4640.81456038,4644.192621380001,4789.17949758,5416.64148298,6311.313218879999,6788.89511511,6713.03478858,6593.81478858,5892.71618858,4949.25478858,4515.49418858
2014,7,2,4057.1314885799998,3793.80078858,3676.15478858,3651.94678858,3695.83418858,3958.8807885799997,4570.53748858,5490.62918858,5659.813509979999,5253.69158228,4783.14766118,4492.47292018,4372.26633548,4310.0245603799995,4328.61932138,4413.9641975800005,4695.613482979999,5483.38451888,5830.6251151100005,5544.32018858,5299.57148858,4829.26878858,4480.16548858,4260.35748858
2014,7,3,3966.95148858,3749.62078858,3647.61478858,3613.01678858,3642.10418858,3861.49078858,4368.13748858,4939.0191885799995,5117.46350998,4861.69158228,4583.247661179999,4333.71292018,4231.946335479999,4201.95456038,4363.32932138,4542.90419758,4700.58348298,5493.92451888,5982.92511511,6027.61018858,5874.41148858,5142.81878858,4717.59548858,4395.94748858
2014,7,4,4055.30148858,3826.19078858,3705.05478858,3668.32678858,3705.0541885800003,3996.4407885799997,4588.93748858,5462.73918858,5760.143509979999,5398.494882280001,4978.701061180001,4579.71622018,4369.13963548,4290.55456038,4259.952621380001,4309.79949758,4667.741482979999,5461.00321888,5943.345115110001,5877.56478858,5783.19478858,5202.68618858,4773.2147885800005,4501.60418858
2014,7,5,4148.19148858,3858.31078858,3709.28478858,3670.23678858,3679.7441885800004,3774.04078858,4017.90748858,4494.77918858,4835.00350998,4742.42488228,4403.89106118,4023.6662201800004,3761.26963548,3639.08456038,3627.4226213800002,3773.7194975800003,4163.39148298,5143.033218879999,5731.14511511,5668.24478858,5528.47478858,5025.20618858,4684.97478858,4452.6841885799995
2014,7,6,4176.07148858,3895.68078858,3743.50478858,3686.6467885800002,3694.1241885800005,3750.51078858,3916.43748858,4290.50918858,4607.603509979999,4516.46488228,4259.55106118,3997.98622018,3793.96963548,3682.30456038,3688.3926213800005,3830.6794975800003,4298.421482979999,5629.97321888,6188.68511511,6134.664788579999,6009.62478858,5352.1261885799995,4721.50478858,4410.134188579999
2014,7,7,4150.17148858,3930.8407885799998,3774.56478858,3727.28678858,3768.1141885800002,4083.6707885799997,4856.07748858,6145.83918858,6394.70350998,5911.72488228,5352.09106118,4838.05622018,4556.2096354800005,4384.324560380001,4333.312621380001,4463.069497580001,5043.73148298,6165.35321888,6567.385115110001,6494.19478858,6295.88478858,5549.14618858,4805.53478858,4429.544188579999
2014,7,8,4160.85148858,3894.98078858,3734.92478858,3686.6467885800002,3718.19418858,4031.0207885799996,4631.04748858,5636.3491885799995,6083.84350998,5841.39488228,5525.371061180001,5328.426220180001,5037.32963548,4944.244560380001,5034.29262138,5175.159497580001,5722.991482979999,6513.073218879999,6929.39511511,6716.93478858,6553.7947885799995,5824.70618858,5016.12478858,4537.99418858
2014,7,9,4164.49148858,3895.06078858,3740.09478858,3695.83678858,3719.8041885800003,4027.6307885799997,4673.55748858,5647.90918858,5959.903509979999,5600.91158228,5153.05766118,4736.502920180001,4469.80633548,4414.70456038,4361.519321379999,4452.7141975800005,5020.09348298,6120.744518879999,6582.80511511,6419.54018858,6296.81148858,5530.28878858,4880.40548858,4487.747488579999
2014,7,10,4167.04148858,3888.97078858,3733.60478858,3699.17678858,3737.8241885800003,4021.4607885799996,4650.94748858,5686.04918858,5980.58350998,5564.56158228,5052.64766118,4699.55292018,4496.906335479999,4372.4445603799995,4332.03932138,4344.51419758,4742.06348298,5866.76451888,6518.70511511,6524.31018858,6398.6414885799995,5678.588788579999,4955.45548858,4549.63748858
