Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2014,7,1,0.348922,0.313398,0.270004,0.219337,0.224271,0.204764,0.200455,0.182719,0.158778,0.14005,0.135103,0.126365,0.143034,0.133783,0.115054,0.070077,0.103336,0.204496,0.239948,0.199864,0.261847,0.34509,0.486074,0.520531
2014,7,2,0.931713,0.958871,0.933827,0.907668,0.964362,0.948551,0.982055,0.994555,0.96634,0.994258,0.885511,0.976881,0.979337,0.95562,0.933379,0.929579,0.903513,0.923947,0.896735,0.916718,0.945577,0.945262,0.940613,0.934368
2014,7,3,0.924116,0.909139,0.923415,0.922075,0.965594,0.98351,0.977951,0.982039,0.990102,0.996393,0.992227,0.996987,0.931829,0.998391,0.998492,0.996859,0.997346,0.982697,0.982687,0.971798,0.974762,0.956644,0.962082,0.957254
2014,7,4,0.9295,0.969217,0.913829,0.880481,0.844197,0.820926,0.676453,0.729073,0.778396,0.776499,0.817963,0.720142,0.597144,0.816143,0.816548,0.768384,0.805138,0.774531,0.810831,0.818836,0.809509,0.806919,0.812195,0.955362
2014,7,5,0.953944,0.926177,0.932399,0.921658,0.905922,0.864752,0.721165,0.786982,0.775925,0.832456,0.825278,0.842423,0.811145,0.708409,0.64947,0.643121,0.513301,0.402373,0.326782,0.344539,0.274177,0.124488,0.078832,0.225044
2014,7,6,0.209005,0.158929,0.138764,0.128701,0.100124,0.080689,0.0748,0.066271,0.060569,0.049987,0.04568,0.051842,0.067279,0.056438,0.158419,0.184674,0.197025,0.190413,0.165997,0.155115,0.166775,0.176676,0.145934,0.108979
2014,7,7,0.097637,0.173335,0.18185,0.099523,0.140001,0.168215,0.204253,0.230418,0.239925,0.194068,0.121295,0.105027,0.121703,0.123615,0.134951,0.112235,0.118843,0.120865,0.093555,0.105738,0.112984,0.150673,0.107121,0.053958
2014,7,8,0.121176,0.095771,0.085547,0.074019,0.088349,0.09347,0.087225,0.094059,0.136343,0.178328,0.240407,0.268697,0.290204,0.321015,0.367787,0.417402,0.477072,0.5244,0.568118,0.601941,0.647825,0.636607,0.616572,0.542923
2014,7,9,0.369658,0.302069,0.29387,0.267875,0.225735,0.16802,0.184721,0.222224,0.26498,0.352876,0.433722,0.534881,0.578856,0.621375,0.623646,0.621445,0.616059,0.58989,0.567799,0.578902,0.586512,0.61606,0.588892,0.558912
2014,7,10,0.409253,0.438148,0.507064,0.530614,0.591447,0.563863,0.62678,0.810403,0.900272,0.608737,0.427123,0.356288,0.285133,0.202424,0.258812,0.185963,0.269292,0.377177,0.277075,0.376455,0.49968,0.623633,0.800283,0.835507
2014,7,11,0.872105,0.905896,0.935026,0.954294,0.973184,0.9799,0.98815,0.992066,0.992098,0.990475,0.990284,0.991757,0.99394,0.994605,0.995658,0.994694,0.995307,0.99421,0.994125,0.99269,0.99818,0.997721,0.997317,0.997474
2014,7,12,0.998613,0.997708,0.995166,0.985153,0.958751,0.830271,0.755168,0.772937,0.839113,0.836149,0.725731,0.821427,0.801724,0.854629,0.831916,0.701458,0.799393,0.828085,0.836659,0.852222,0.851071,0.842746,0.856031,0.889345
2014,7,13,0.936287,0.9631,0.962863,0.961567,0.954286,0.900802,0.817826,0.682292,0.519433,0.463872,0.509533,0.528393,0.533284,0.537568,0.443341,0.374804,0.313657,0.253539,0.218148,0.231913,0.204628,0.197152,0.195244,0.188683
2014,7,14,0.214197,0.282861,0.256662,0.170805,0.125331,0.154301,0.215052,0.241498,0.226742,0.240436,0.260214,0.285785,0.286064,0.320409,0.303846,0.288264,0.306872,0.257914,0.268179,0.292473,0.302785,0.303991,0.264173,0.219678
2014,7,15,0.158942,0.116083,0.081135,0.04786,0.038404,0.036655,0.034573,0.015841,0.011022,0.009815,0.021105,0.031983,0.016744,0.012219,0.011911,0.009857,0.013482,0.016619,0.041296,0.058803,0.074332,0.055942,0.058454,0.055311
2014,7,16,0.037593,0.044531,0.061749,0.084688,0.094926,0.104837,0.120166,0.11666,0.115312,0.081223,0.066609,0.045987,0.033936,0.043438,0.067863,0.092896,0.097876,0.089806,0.091932,0.070055,0.061997,0.063546,0.054116,0.032435
2014,7,17,0.030371,0.028771,0.033403,0.035314,0.03939,0.042972,0.044937,0.010983,0,0.001619,0.032181,0.046701,0.055233,0.076669,0.081913,0.11203,0.1444,0.205682,0.471454,0.628086,0.723316,0.703477,0.244728,0.140513
2014,7,18,0.114168,0.089915,0.039896,0.0345,0.040379,0.052018,0.032473,0.027689,0.054137,0.098499,0.122142,0.118712,0.133922,0.144125,0.168859,0.224203,0.288306,0.3535,0.424721,0.535078,0.658934,0.70925,0.736283,0.776612
