Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2014,7,1,0.091518,0.104422,0.130873,0.107221,0.101113,0.081888,0.08593,0.065807,0.053654,0.070746,0.072559,0.051063,0.058525,0.05748,0.051344,0.057374,0.036565,0.076752,0.146706,0.162383,0.170275,0.140323,0.063049,0.059277
2014,7,2,0.99905,0.999191,0.998408,0.997356,1,0.999414,0.998422,0.995379,0.96042,0.946478,0.921313,0.946516,0.948696,0.94177,0.935955,0.936727,0.919111,0.914867,0.978942,0.953739,0.953,0.968656,0.96942,0.99216
2014,7,3,0.998561,0.996307,0.997773,0.996666,0.99835,0.998449,0.998192,0.996422,0.977924,0.969326,0.979275,0.966859,0.947948,0.952557,0.975129,0.946867,0.740197,0.784378,0.794038,0.64644,0.722896,0.663038,0.609693,0.645677
2014,7,4,0.495401,0.572259,0.635624,0.536301,0.383537,0.39983,0.481346,0.503416,0.479603,0.414561,0.388061,0.319528,0.13598,0.113394,0.094609,0.084746,0.118866,0.190305,0.198887,0.17512,0.15861,0.182675,0.071679,0.10016
2014,7,5,0.114675,0.19505,0.330206,0.356908,0.366016,0.305393,0.278387,0.262379,0.120018,0.121957,0.094981,0.110406,0.137216,0.138694,0.122035,0.099472,0.083043,0.079792,0.014935,0.028815,0.098505,0.18508,0.193563,0.106895
2014,7,6,0.099174,0.076563,0.060672,0.039212,0.032176,0.039332,0.056642,0.072326,0.13533,0.159016,0.16079,0.171076,0.167978,0.168546,0.188367,0.203819,0.200854,0.198435,0.194223,0.16988,0.15253,0.144036,0.058784,0.092402
2014,7,7,0.106841,0.115762,0.116718,0.126178,0.132175,0.12791,0.133719,0.154944,0.209493,0.275929,0.310149,0.337396,0.421227,0.460797,0.553339,0.47606,0.432926,0.394844,0.369948,0.281378,0.35357,0.339409,0.183141,0.256127
2014,7,8,0.314146,0.223372,0.210821,0.188933,0.165652,0.173946,0.177075,0.241261,0.375303,0.446612,0.516367,0.380248,0.40082,0.396987,0.407131,0.426837,0.528281,0.501529,0.469512,0.486685,0.534858,0.422319,0.325705,0.297871
2014,7,9,0.263784,0.231795,0.207858,0.176698,0.141948,0.122595,0.184409,0.257699,0.380629,0.469083,0.462399,0.447856,0.586967,0.598438,0.61827,0.62995,0.66502,0.476667,0.452208,0.466202,0.430419,0.409098,0.442203,0.4564
2014,7,10,0.444377,0.469392,0.555385,0.540995,0.550091,0.918051,0.812381,0.840167,0.790123,0.688732,0.137214,0.064057,0.2722,0.401053,0.36851,0.432288,0.301081,0.344878,0.743248,0.875652,0.97842,0.990972,0.995394,0.978226
2014,7,11,0.946022,0.948857,0.981654,0.961678,0.984494,0.994021,0.985927,0.990565,0.921155,0.826181,0.828782,0.75683,0.726951,0.706591,0.750372,0.868825,0.931694,0.998852,1,0.999396,0.998327,1,0.997557,0.991048
2014,7,12,0.987033,0.962452,0.969124,0.982658,0.986569,0.950119,0.747906,0.647004,0.671126,0.670961,0.748727,0.979583,0.973239,0.975232,0.980332,0.950994,0.953329,0.990263,0.964155,0.923386,0.903451,0.902761,0.94604,0.969343
2014,7,13,0.983221,0.990735,0.986752,0.969807,0.906989,0.851946,0.84933,0.777889,0.821902,0.95005,0.936512,0.700862,0.724269,0.845578,0.941389,0.934806,0.874227,0.749324,0.731576,0.699085,0.69232,0.590336,0.696244,0.625233
2014,7,14,0.890809,0.930424,0.581455,0.681041,0.598028,0.491088,0.501485,0.642073,0.780944,0.650958,0.536149,0.574358,0.738062,0.761012,0.699481,0.560736,0.684239,0.518195,0.522454,0.326642,0.316549,0.234482,0.195227,0.15544
2014,7,15,0.35622,0.339739,0.328222,0.291069,0.179364,0.144024,0.154159,0.267668,0.189869,0.265971,0.243679,0.22717,0.230201,0.246827,0.291261,0.354035,0.374939,0.392091,0.249838,0.202985,0.235128,0.237878,0.235431,0.295651
2014,7,16,0.237732,0.230685,0.259917,0.33691,0.307163,0.313541,0.302183,0.332696,0.233437,0.29597,0.417021,0.369762,0.346539,0.289806,0.204702,0.243155,0.227919,0.188699,0.170869,0.132842,0.154782,0.184518,0.116605,0.16398
2014,7,17,0.154843,0.126261,0.110354,0.108828,0.12133,0.114312,0.082825,0.033766,0.05865,0.119011,0.165104,0.205196,0.210262,0.204102,0.386837,0.352409,0.745383,0.704634,0.715821,0.666667,0.524779,0.610164,1,0.996653
2014,7,18,0.983901,0.923679,0.539584,0.302747,0.271137,0.264523,0.21846,0.23468,0.31581,0.557392,0.701325,0.707143,0.75162,0.810858,0.758094,0.715176,0.832306,0.84222,0.852258,0.909607,0.899704,0.813633,0.729775,0.740854
2014,7,19,0.731117,0.930258,0.962607,0.990358,0.992764,0.941666,0.879144,0.801433,0.868635,0.805501,0.690424,0.731157,0.826223,0.783274,0.773922,0.731665,0.797472,0.594093,0.397027,0.366272,0.383079,0.418788,0.536559,0.638855
2014,7,20,0.887373,0.962282,0.950242,0.960538,0.973741,0.956344,0.842883,0.862933,0.906427,0.95574,0.980478,0.987365,0.987826,0.992765,0.995474,0.997319,0.998405,0.997397,0.997416,0.996315,0.994561,0.992645,0.989832,0.994706
2014,7,21,0.97776,0.937473,0.873267,0.795185,0.769276,0.661417,0.497989,0.347395,0.334213,0.209291,0.428257,0.510239,0.416321,0.463209,0.674671,0.6851,0.804699,0.972372,0.857393,0.88143,0.789927,0.682538,0.70721,0.804333
2014,7,22,0.791196,0.903761,0.978764,0.987816,0.96178,0.786974,0.594719,0.710043,0.851466,0.844101,0.891156,0.819943,0.807281,0.950077,0.954036,0.95777,0.93474,0.658269,0.768737,0.917105,0.911064,0.929761,0.835471,0.886886
2014,7,23,0.938441,0.950216,0.982309,0.998381,0.997855,0.971399,0.76498,0.673561,0.552993,0.577058,0.679017,0.723477,0.631855,0.593465,0.510992,0.434943,0.173661,0.107181,0.103505,0.112789,0.092846,0.072668,0.022761,0.037091
2014,7,24,0.012174,0,0,0.013018,0.031235,0.060239,0.041015,0,0,0.081431,0.137158,0.160293,0.179165,0.221713,0.209472,0.257683,0.413838,0.352712,0.440572,0.453378,0.491548,0.520533,0.632962,0.702402
2014,7,25,0.697898,0.842921,0.882625,0.885521,0.902317,0.813134,0.481134,0.304356,0.278155,0.190726,0.216524,0.294073,0.408615,0.283652,0.27258,0.288176,0.27029,0.24524,0.387378,0.407476,0.446325,0.462393,0.4953,0.47769
2014,7,26,0.486965,0.491846,0.431238,0.371216,0.431846,0.436464,0.362021,0.321375,0.341055,0.268233,0.325209,0.461454,0.432192,0.430013,0.399043,0.229304,0.093757,0.058824,0.085124,0.108132,0.117635,0.09941,0.142358,0.157925
2014,7,27,0.154184,0.103503,0.112738,0.224771,0.159024,0.203829,0.247008,0.458618,0.418778,0.470613,0.266761,0.298779,0.337739,0.246399,0.438898,0.481394,0.413448,0.555945,0.55342,0.422274,0.2679,0.300154,0.369411,0.386732
2014,7,28,0.690098,0.601045,0.585373,0.669889,0.799695,0.763372,0.572388,0.475455,0.365081,0.320415,0.352947,0.358034,0.363632,0.382223,0.392383,0.503835,0.396879,0.226422,0.183531,0.134439,0.117866,0.087331,0.105191,0.333914
2014,7,29,0.476375,0.607802,0.586865,0.615601,0.518451,0.431524,0.426684,0.26861,0.165668,0.257522,0.32172,0.311393,0.224643,0.192361,0.152353,0.118223,0.10683,0.060148,0.070205,0.065316,0.031614,0.041347,0,0.015255
2014,7,30,0.029434,0.056748,0.079856,0.076574,0.058177,0.075789,0.063677,0.055847,0.017357,0,0,0,0.022529,0.022014,0.019714,0.018277,0.022093,0.025336,0.058117,0.080648,0.076128,0.10199,0.12069,0.239805
2014,7,31,0.482949,0.579528,0.573172,0.63251,0.588943,0.555552,0.545305,0.597865,0.778141,0.647809,0.4811,0.406794,0.465416,0.43726,0.332078,0.282047,0.252646,0.253113,0.421227,0.414957,0.447208,0.333008,0.257989,0.435971
2014,8,1,0.410304,0.338955,0.252883,0.185525,0.135651,0.128614,0.157068,0.279775,0.27918,0.266861,0.201539,0.173041,0.151171,0.122141,0.180895,0.134157,0.120317,0.141847,0.185537,0.177999,0.08492,0.033674,0.06908,0.186197
2014,8,2,0.325721,0.399059,0.467619,0.409122,0.290733,0.174158,0.107828,0.09502,0.078449,0.082514,0.17142,0.165276,0.291762,0.369764,0.387387,0.286067,0.275931,0.298092,0.322258,0.308224,0.434896,0.452419,0.510862,0.573836
2014,8,3,0.66142,0.739574,0.813705,0.861114,0.860596,0.815571,0.745782,0.768893,0.841661,0.915577,0.925323,0.897502,0.973478,0.885775,0.71882,0.753862,0.646141,0.421575,0.219784,0.18488,0.116777,0.125399,0.043234,0
2014,8,4,0.010665,0.079054,0.17055,0.237815,0.236396,0.255339,0.223417,0.133081,0.111321,0.128143,0.124705,0.16952,0.243219,0.279947,0.280446,0.319958,0.326351,0.206553,0.2198,0.18378,0.15298,0.116376,0.113685,0.152928
2014,8,5,0.221683,0.225786,0.297146,0.313392,0.442016,0.365851,0.219603,0.180124,0.16498,0.091092,0.067213,0.235204,0.284621,0.18375,0.119131,0.076372,0.055619,0.057724,0.146024,0.170525,0.207863,0.245737,0.25925,0.184749
2014,8,6,0.272602,0.381349,0.442715,0.439409,0.407678,0.299077,0.232294,0.228087,0.276697,0.163083,0.149258,0.166253,0.195765,0.22081,0.555584,0.66368,0.831646,0.952911,0.971067,0.978154,0.98735,0.991207,0.992868,0.994202
2014,8,7,0.996725,0.997591,0.997897,0.997735,0.99171,0.970276,0.951693,0.95749,0.981815,0.975665,0.994374,0.980746,0.954052,0.927244,0.954369,0.920451,0.925637,0.918797,0.877618,0.799157,0.595958,0.350134,0.301137,0.415083
2014,8,8,0.361713,0.198018,0.096291,0.06942,0.052604,0.030808,0.024009,0.014149,0,0.057504,0.131375,0.087917,0.076082,0.076115,0.098352,0.099018,0.149838,0.178163,0.187968,0.205685,0.278999,0.198264,0.082351,0.045378
2014,8,9,0.070176,0.099049,0.132114,0.160711,0.139722,0.099217,0.075997,0.029115,0.036518,0.170413,0.155926,0.164515,0.23028,0.224395,0.19571,0.206235,0.434205,0.296038,0.294743,0.327095,0.292316,0.279856,0.379583,0.281123
2014,8,10,0.280894,0.53288,0.596195,0.451124,0.446145,0.571377,0.417244,0.299597,0.265236,0.27389,0.356535,0.592811,0.835983,0.696903,0.488301,0.416763,0.366906,0.574514,0.392417,0.358977,0.352599,0.629898,0.700473,0.414523
2014,8,11,0.351971,0.239133,0.175557,0.214894,0.141123,0.049261,0.077648,0.220636,0.594607,0.536919,0.363192,0.291298,0.202366,0.157355,0.112932,0.090247,0.026677,0.02013,0.016265,0.022883,0.027606,0.035816,0.054404,0.142772
2014,8,12,0.306198,0.313484,0.259957,0.270272,0.345751,0.423741,0.41525,0.250616,0.149554,0.105642,0.030713,0.032711,0.034978,0.044273,0.042639,0.027423,0.025269,0.02403,0,0,0,0.025563,0.015167,0
2014,8,13,0.011384,0.03359,0.052579,0.071197,0.066639,0.030521,0,0,0,0.024353,0.096637,0.082405,0.101336,0.087655,0.063649,0.072225,0.091917,0.087735,0.107222,0.108384,0.167963,0.060523,0.026532,0.062103
2014,8,14,0.069917,0.078242,0.086797,0.166968,0.119959,0.079618,0.068907,0.043772,0.024,0.055243,0.051086,0.055976,0.13897,0.198352,0.23096,0.277623,0.344508,0.211301,0.301119,0.300685,0.309684,0.243077,0.213459,0.294937
2014,8,15,0.354284,0.385064,0.487324,0.491566,0.549675,0.601117,0.506332,0.427633,0.737296,0.844086,0.942416,0.977012,0.984217,0.975397,0.966166,0.945657,0.926355,0.922806,0.943373,0.873831,0.722231,0.722763,0.802779,0.857899
2014,8,16,0.96405,0.991833,0.996419,0.981842,0.948407,0.915699,0.953307,0.984171,0.994483,0.982336,0.996296,0.99844,1,1,1,0.863849,0.998761,0.991909,0.952169,0.793534,0.697942,0.756326,0.899936,0.984499
2014,8,17,0.988706,0.990767,0.990015,0.999365,1,0.999344,0.978871,0.998511,0.998297,0.995445,0.989343,0.995274,0.975282,0.961597,0.976499,0.946618,0.914004,0.889709,0.799066,0.711453,0.632643,0.541381,0.520984,0.433628
2014,8,18,0.684146,0.841205,0.895597,0.816013,0.664866,0.545792,0.380153,0.253103,0.208125,0.195033,0.128839,0.066365,0.137267,0.279222,0.463505,0.563111,0.634251,0.544855,0.404336,0.376598,0.446701,0.272289,0.224904,0.256192
2014,8,19,0.333306,0.382311,0.487599,0.487207,0.487895,0.418826,0.266866,0.167676,0.224049,0.369749,0.549206,0.562048,0.834158,0.876041,0.906148,0.877338,0.860374,0.809416,0.814529,0.796652,0.728466,0.711383,0.879939,0.895275
2014,8,20,0.862756,0.808772,0.732619,0.530001,0.287334,0.136198,0.095662,0.042868,0.234472,0.299671,0.567038,0.46028,0.489657,0.482041,0.390152,0.264058,0.140935,0.079104,0.035993,0.023821,0.064344,0.111015,0.155141,0.132396
2014,8,21,0.127299,0.128505,0.172983,0.112981,0.12894,0.127449,0.123386,0.149825,0.187635,0.160562,0.278166,0.384802,0.461743,0.400778,0.782048,0.955819,0.990695,0.98652,0.995213,0.992911,0.986807,0.996522,1,1
2014,8,22,0.997621,0.964843,0.850212,0.768952,0.69067,0.49354,0.42838,0.257218,0.217294,0.186791,0.087355,0.020184,0.025871,0.026654,0.120343,0.123648,0.182571,0.225101,0.283767,0.342604,0.424661,0.468069,0.456677,0.567494
2014,8,23,0.675797,0.640488,0.637284,0.769163,0.859112,0.758377,0.776825,0.615313,0.877684,0.928334,0.880234,0.759415,0.835422,0.769448,0.717034,0.720668,0.766072,0.777386,0.810985,0.819401,0.852078,0.849362,0.876987,0.839582
