Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2014,7,1,0.472172,0.501874,0.470747,0.454744,0.477855,0.501775,0.390124,0.312546,0.243391,0.268298,0.273237,0.311707,0.31166,0.37504,0.357091,0.4649,0.529557,0.587857,0.532962,0.494942,0.553266,0.641694,0.693784,0.807563
2014,7,2,0.153966,0.205281,0.269993,0.301913,0.277598,0.210161,0.118793,0.063159,0.043386,0.050588,0.067862,0.089535,0.119619,0.134952,0.125479,0.120337,0.083134,0.091651,0.078125,0.07556,0.069976,0.041652,0.004965,0.047015
2014,7,3,0.056247,0.071509,0.076214,0.073279,0.079791,0.086265,0.059725,0.039601,0.028386,0.035806,0.035777,0.039513,0.043656,0.074708,0.128655,0.262388,0.274737,0.311119,0.273358,0.199083,0.168412,0.13977,0.155531,0.212026
2014,7,4,0.270523,0.277931,0.281327,0.321986,0.338204,0.339064,0.269324,0.15205,0.150756,0.16833,0.186477,0.202961,0.237748,0.249938,0.234877,0.248287,0.294602,0.377844,0.442675,0.429947,0.418779,0.338653,0.323293,0.34535
2014,7,5,0.349725,0.321873,0.305038,0.23479,0.217797,0.218308,0.196475,0.153558,0.108097,0.127831,0.159649,0.19596,0.236928,0.257976,0.239863,0.256846,0.258207,0.25317,0.246051,0.242593,0.258092,0.134286,0.197312,0.246415
2014,7,6,0.2557,0.243168,0.226485,0.233923,0.223711,0.226513,0.248779,0.2215,0.11669,0.109196,0.118113,0.135507,0.121757,0.092291,0.091835,0.098179,0.105196,0.118954,0.130416,0.121141,0.130229,0.048626,0.087159,0.095313
2014,7,7,0.092453,0.083434,0.085715,0.099706,0.107729,0.098075,0.139148,0.266094,0.126681,0.066686,0.056167,0.05668,0.058885,0.064011,0.056423,0.065093,0.059139,0.082171,0.083995,0.080341,0.07337,0.005213,0.036556,0.051351
2014,7,8,0.070649,0.043599,0.044432,0.066194,0.080899,0.117735,0.083703,0.09125,0.063522,0.070838,0.080477,0.089661,0.120775,0.162981,0.166707,0.168481,0.143252,0.16776,0.18233,0.183178,0.165023,0.124527,0.19292,0.249124
2014,7,9,0.285178,0.305289,0.302665,0.284956,0.248879,0.260279,0.174312,0.123337,0.126117,0.146581,0.168641,0.223216,0.274418,0.320715,0.237181,0.168116,0.168207,0.208987,0.204111,0.257033,0.289414,0.406297,0.470797,0.596486
2014,7,10,0.623443,0.643489,0.667325,0.684954,0.656183,0.622909,0.53768,0.445984,0.376889,0.381426,0.35506,0.348745,0.318585,0.358076,0.33363,0.313027,0.335094,0.416903,0.383962,0.389775,0.404342,0.439179,0.524787,0.719614
2014,7,11,0.675305,0.571765,0.540756,0.518518,0.472726,0.489642,0.406263,0.384029,0.344092,0.300852,0.339969,0.330133,0.324429,0.351647,0.38583,0.417245,0.450047,0.415176,0.352126,0.485046,0.488618,0.42736,0.583004,0.702525
2014,7,12,0.70652,0.669974,0.614544,0.677043,0.671749,0.587668,0.425008,0.344677,0.24316,0.262361,0.201331,0.206164,0.186517,0.203175,0.223444,0.300918,0.287186,0.294321,0.253289,0.291423,0.241033,0.204088,0.30579,0.384908
2014,7,13,0.446162,0.400849,0.386344,0.43008,0.377736,0.377718,0.267494,0.178184,0.090808,0.104824,0.15055,0.141416,0.134962,0.146549,0.152537,0.165594,0.158694,0.144772,0.140142,0.143007,0.163328,0.077016,0.162734,0.185358
2014,7,14,0.177307,0.18876,0.183968,0.186727,0.175756,0.164182,0.128951,0.177117,0.083585,0.059492,0.045642,0.042158,0.045231,0.041177,0.062541,0.080893,0.084481,0.056776,0.0468,0.025604,0.038278,0.004909,0.022896,0.046292
2014,7,15,0.0516,0.045817,0.074545,0.021848,0.020148,0.039651,0.056237,0.062294,0.024992,0.032314,0.00774,0.02516,0.090979,0.074968,0.071057,0.095129,0.166549,0.188143,0.118213,0.123719,0.10905,0.004994,0.017658,0.008185
