Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2014,7,1,0.757946,0.729777,0.732449,0.736293,0.626133,0.460544,0.428276,0.46037,0.444715,0.470069,0.549055,0.604887,0.557249,0.561962,0.536626,0.515939,0.513598,0.508213,0.507126,0.566063,0.489664,0.365954,0.279984,0.25237
2014,7,2,0.945245,0.97415,0.964187,0.979631,0.954518,0.880522,0.805325,0.839984,0.901539,0.899347,0.803723,0.82558,0.826282,0.837965,0.864664,0.897017,0.893001,0.895687,0.903408,0.889671,0.881073,0.869224,0.896465,0.947214
2014,7,3,0.979594,0.987495,0.987867,0.939483,0.890876,0.895931,0.904689,0.931942,0.947173,0.941771,0.93003,0.939904,0.943441,0.903904,0.908015,0.939811,0.934037,0.921536,0.913825,0.90493,0.909964,0.92808,0.89303,0.954512
2014,7,4,0.954724,0.945951,0.929384,0.905411,0.857927,0.814907,0.698772,0.615326,0.671824,0.696168,0.664113,0.632984,0.561686,0.4917,0.470835,0.417466,0.357907,0.338228,0.293908,0.281409,0.250111,0.207322,0.138267,0.154841
2014,7,5,0.15692,0.133501,0.112969,0.152881,0.262891,0.339836,0.234797,0.238344,0.206485,0.161841,0.131441,0.124172,0.089705,0.076427,0.079458,0.099679,0.109456,0.127422,0.158367,0.159018,0.183126,0.241303,0.237025,0.165555
2014,7,6,0.160077,0.114581,0.068714,0.046906,0.023802,0.021861,0.026532,0.061755,0.077743,0.089429,0.120371,0.135422,0.135087,0.121815,0.149968,0.170261,0.167362,0.173654,0.195664,0.179298,0.18074,0.18564,0.095722,0.073468
2014,7,7,0.124979,0.122475,0.114858,0.121989,0.125184,0.139713,0.155132,0.219351,0.28656,0.353807,0.448336,0.503662,0.564554,0.601441,0.627553,0.588004,0.573858,0.552747,0.502643,0.451693,0.476642,0.450955,0.33682,0.222738
2014,7,8,0.238987,0.194825,0.182494,0.153734,0.140405,0.119402,0.118615,0.166367,0.234391,0.270441,0.310666,0.316632,0.367311,0.443777,0.483032,0.476229,0.495605,0.506138,0.514448,0.490573,0.445615,0.390381,0.273021,0.137455
2014,7,9,0.129108,0.091384,0.074494,0.059999,0.05671,0.065433,0.087266,0.2215,0.319505,0.449944,0.546211,0.573399,0.636577,0.654689,0.636057,0.637968,0.612012,0.587828,0.543812,0.509166,0.48773,0.501389,0.437356,0.396072
2014,7,10,0.367488,0.399844,0.505634,0.620323,0.335611,0.290798,0.357402,0.241821,0.143186,0.18597,0.266727,0.453612,0.123014,0.257549,0.379033,0.593206,0.664102,0.676402,0.703806,0.800149,0.881069,0.909286,0.946917,0.974033
2014,7,11,0.959979,0.902152,0.956961,0.978557,0.988186,0.982011,0.962793,0.97593,0.984719,0.985469,0.981903,0.976253,0.978005,0.979179,0.973031,0.976728,0.98626,0.990774,0.983049,0.989689,0.99333,0.984356,0.978392,0.980021
2014,7,12,0.937594,0.895895,0.89355,0.892202,0.90079,0.891352,0.661076,0.633602,0.756175,0.846345,0.870755,0.890007,0.893357,0.908053,0.898346,0.916832,0.916757,0.93125,0.927077,0.928355,0.915758,0.924965,0.94299,0.958727
2014,7,13,0.949988,0.934011,0.854571,0.76729,0.638871,0.614467,0.628442,0.633307,0.645815,0.717423,0.796437,0.849004,0.864139,0.886188,0.882998,0.89401,0.881652,0.890145,0.885544,0.917653,0.905834,0.943214,0.978681,0.981837
2014,7,14,0.982525,0.983176,0.982619,0.987297,0.98252,0.936333,0.806342,0.855534,0.77548,0.767632,0.877115,0.879892,0.857872,0.827724,0.865722,0.850576,0.814091,0.856634,0.899071,0.895416,0.926231,0.943479,0.943618,0.940372
2014,7,15,0.922776,0.865659,0.784647,0.713535,0.614668,0.422611,0.386949,0.395958,0.408382,0.438491,0.385246,0.34834,0.386171,0.416035,0.458472,0.495088,0.518852,0.559879,0.537638,0.449795,0.424873,0.41773,0.37936,0.417333
2014,7,16,0.517569,0.583706,0.603082,0.541238,0.482665,0.38663,0.227476,0.28284,0.351535,0.379064,0.4097,0.383473,0.343834,0.317912,0.40429,0.441271,0.416827,0.402992,0.42094,0.432239,0.416921,0.3519,0.204359,0.159177
2014,7,17,0.156589,0.10609,0.113816,0.121324,0.125726,0.119336,0.089844,0.089353,0.069608,0.071737,0.100011,0.098927,0.096788,0.128447,0.192441,0.137686,0.409717,0.53303,0.738644,0.699751,0.684236,0.65097,0.694964,0.780705
2014,7,18,0.947735,0.936548,0.832139,0.694965,0.630362,0.448018,0.139891,0.183387,0.297091,0.520166,0.660838,0.742333,0.744538,0.790845,0.822231,0.878854,0.92371,0.943439,0.946999,0.9513,0.95658,0.953166,0.929979,0.899792
2014,7,19,0.885697,0.927005,0.919154,0.916187,0.907758,0.865506,0.647658,0.722469,0.82183,0.869951,0.899364,0.913029,0.895002,0.870786,0.802284,0.689175,0.646993,0.656138,0.592918,0.554732,0.601109,0.650232,0.560933,0.658519
2014,7,20,0.7693,0.839351,0.854124,0.857876,0.85755,0.846277,0.683872,0.773936,0.884824,0.957139,0.979192,0.98591,0.987381,0.989147,0.990955,0.99178,0.99337,0.994078,0.993864,0.993512,0.992696,0.993004,0.993465,0.996488
2014,7,21,0.995964,0.994328,0.990755,0.98545,0.964982,0.910405,0.79865,0.872397,0.924386,0.950473,0.960472,0.975218,0.986208,0.990943,0.992559,0.990392,0.992026,0.991445,0.991738,0.996577,0.991689,0.984094,0.950508,0.921439
2014,7,22,0.807651,0.880335,0.921257,0.950573,0.971973,0.956942,0.750409,0.695856,0.701802,0.660485,0.508708,0.517833,0.493222,0.431963,0.438109,0.509083,0.587839,0.709495,0.808425,0.895804,0.937979,0.958749,0.978057,0.957885
2014,7,23,0.942769,0.914025,0.918548,0.955119,0.938621,0.931642,0.814993,0.698519,0.667407,0.732825,0.745546,0.726073,0.705785,0.618116,0.551676,0.529788,0.444659,0.338988,0.289763,0.237637,0.174044,0.144698,0.0692,0.070757
2014,7,24,0.028952,0.008258,0,0,0,0,0.001444,0.010315,0.024005,0.01449,0.01136,0.04074,0.086364,0.172506,0.247217,0.331793,0.400395,0.390968,0.44855,0.477026,0.48823,0.516128,0.438569,0.383741
2014,7,25,0.385596,0.521979,0.54894,0.548714,0.506516,0.431026,0.216673,0.191171,0.201732,0.259953,0.29995,0.34743,0.369481,0.416728,0.424485,0.442509,0.425816,0.457793,0.499508,0.561562,0.606267,0.661476,0.616819,0.748827
2014,7,26,0.723394,0.738841,0.673897,0.70966,0.690417,0.634561,0.389614,0.48358,0.591455,0.699337,0.824782,0.906419,0.908635,0.911148,0.901895,0.889796,0.878201,0.87577,0.844937,0.852176,0.815694,0.754348,0.528893,0.399936
2014,7,27,0.66973,0.764867,0.783757,0.875185,0.865764,0.864227,0.843249,0.768771,0.884634,0.864975,0.771972,0.694261,0.626122,0.56671,0.442456,0.433289,0.437203,0.461866,0.535793,0.556001,0.563679,0.585265,0.533213,0.669545
2014,7,28,0.72947,0.738599,0.735471,0.740558,0.705973,0.592704,0.468941,0.378273,0.373152,0.364064,0.413769,0.425979,0.398489,0.368478,0.329725,0.30558,0.272291,0.289927,0.313967,0.325148,0.364955,0.434137,0.355433,0.368964
2014,7,29,0.478186,0.546846,0.600588,0.695257,0.731812,0.694003,0.411881,0.296948,0.283192,0.268519,0.361443,0.417647,0.351355,0.387226,0.483244,0.493836,0.442814,0.460773,0.396099,0.338272,0.33696,0.336202,0.247057,0.263547
2014,7,30,0.243939,0.221708,0.236883,0.303895,0.292925,0.285153,0.161773,0.124766,0.124816,0.095589,0.076846,0.082941,0.080566,0.107368,0.111963,0.103541,0.102602,0.106702,0.097243,0.104954,0.092074,0.099779,0.056546,0.097272
2014,7,31,0.229565,0.368711,0.455286,0.609745,0.568108,0.534139,0.457196,0.307538,0.326647,0.324415,0.332491,0.397747,0.427055,0.439805,0.407115,0.358795,0.354138,0.352352,0.351388,0.338375,0.300177,0.279565,0.246693,0.418056
2014,8,1,0.491578,0.507543,0.53393,0.589323,0.592101,0.556586,0.354278,0.180782,0.147016,0.141676,0.141464,0.149122,0.149477,0.155096,0.143187,0.141058,0.146228,0.153475,0.149735,0.155245,0.129501,0.123862,0.068186,0.070904
2014,8,2,0.061223,0.048042,0.058883,0.062296,0.056489,0.052,0.038181,0.046747,0.035059,0.02134,0.014057,0.04976,0.096475,0.113616,0.164323,0.202437,0.251521,0.292194,0.348538,0.392512,0.445884,0.489997,0.416247,0.45914
2014,8,3,0.600317,0.730068,0.806519,0.837518,0.822286,0.781441,0.572407,0.438069,0.516222,0.568802,0.580074,0.624127,0.661804,0.703483,0.705397,0.63466,0.561656,0.52593,0.437692,0.217592,0.087184,0.088908,0.050192,0.021944
2014,8,4,0.062099,0.075118,0.080519,0.087497,0.10532,0.139511,0.094479,0.070799,0.045713,0.051929,0.102768,0.228167,0.292389,0.328471,0.375806,0.38273,0.381536,0.440387,0.4315,0.408759,0.371065,0.305201,0.208498,0.180181
2014,8,5,0.285399,0.286103,0.335149,0.368681,0.401426,0.339774,0.195252,0.112198,0.098932,0.076689,0.071717,0.077544,0.066802,0.059383,0.065791,0.066447,0.07467,0.116158,0.136641,0.179104,0.177657,0.179182,0.10598,0.051688
2014,8,6,0.155116,0.295805,0.419488,0.506953,0.463061,0.368239,0.142817,0.129628,0.211771,0.335232,0.432824,0.519618,0.576431,0.658257,0.749644,0.871034,0.932797,0.968551,0.976994,0.982167,0.983532,0.98748,0.991641,0.995052
2014,8,7,0.995877,0.996985,0.997915,0.998572,0.998464,0.998239,0.993191,0.989132,0.992835,0.983127,0.954415,0.887316,0.83464,0.787786,0.765492,0.804597,0.852873,0.925494,0.901792,0.858031,0.770715,0.552577,0.537673,0.655489
