Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2014,7,1,0.246007,0.183469,0.208597,0.212468,0.199224,0.200213,0.288193,0.297089,0.247897,0.185882,0.163227,0.150923,0.160999,0.187616,0.17404,0.142438,0.139649,0.127183,0.163562,0.214187,0.290366,0.221632,0.251573,0.331111
2014,7,2,0.981079,0.98634,0.986342,0.98169,0.960889,0.942501,0.938649,0.955784,0.971,0.97985,0.976856,0.972297,0.975525,0.968627,0.9603,0.989003,0.993238,0.992995,0.980938,0.983121,0.970545,0.976795,0.984807,0.980269
2014,7,3,0.982523,0.98555,0.989051,0.9877,0.983542,0.973345,0.957102,0.969218,0.983775,0.984048,0.986911,0.991061,0.98831,0.979208,0.984613,0.987128,0.993883,0.993026,0.992801,0.993644,0.995939,0.995067,0.991407,0.990741
2014,7,4,0.986427,0.988491,0.989848,0.989362,0.97927,0.965629,0.970115,0.982045,0.983379,0.973832,0.9603,0.950715,0.915941,0.920172,0.933434,0.934308,0.908557,0.903993,0.853675,0.805938,0.777515,0.732773,0.753533,0.74229
2014,7,5,0.747823,0.800207,0.828967,0.859851,0.867811,0.897624,0.93922,0.978377,0.978727,0.976902,0.972218,0.967248,0.967224,0.988956,0.985298,0.979789,0.972679,0.958846,0.853574,0.805578,0.746947,0.607238,0.470267,0.418272
2014,7,6,0.371005,0.284467,0.240444,0.217807,0.197019,0.170583,0.292271,0.339173,0.353024,0.334261,0.282677,0.235145,0.184381,0.14777,0.11303,0.087804,0.060139,0.053037,0.053411,0.044483,0.055634,0.068797,0.040877,0.009119
2014,7,7,0.009971,0.015074,0.023475,0.026509,0.031137,0.046326,0.064175,0.051103,0.052507,0.05994,0.058455,0.066878,0.092599,0.146288,0.205484,0.200559,0.220085,0.281672,0.336993,0.331948,0.370331,0.346404,0.443297,0.593547
2014,7,8,0.36897,0.256674,0.198646,0.204693,0.251347,0.26855,0.394737,0.366034,0.323787,0.295061,0.303337,0.278821,0.29218,0.280912,0.265146,0.250242,0.32127,0.357932,0.391269,0.412986,0.403653,0.397997,0.507427,0.618055
2014,7,9,0.415224,0.365431,0.372877,0.386892,0.354328,0.284311,0.359854,0.389286,0.382792,0.341673,0.305698,0.277055,0.309313,0.260564,0.229608,0.222975,0.220525,0.224236,0.225385,0.195072,0.201835,0.196468,0.247246,0.251139
2014,7,10,0.216269,0.19999,0.187457,0.193013,0.230231,0.251572,0.313919,0.349084,0.325136,0.352504,0.496826,0.670339,0.756756,0.822884,0.816388,0.874681,0.821808,0.81571,0.853871,0.737444,0.750638,0.762467,0.841905,0.880188
2014,7,11,0.876779,0.864868,0.755976,0.647122,0.641716,0.512619,0.557373,0.717644,0.725814,0.74186,0.700295,0.62918,0.575312,0.498741,0.453471,0.498172,0.534763,0.54282,0.539556,0.627903,0.624486,0.604822,0.421497,0.16623
2014,7,12,0.083669,0.085985,0.094366,0.107428,0.109063,0.085294,0.078152,0.112886,0.160051,0.253709,0.376775,0.407339,0.429559,0.551776,0.618876,0.708126,0.712009,0.7006,0.694477,0.781495,0.759079,0.79639,0.885148,0.927758
2014,7,13,0.921016,0.921956,0.907511,0.91643,0.923519,0.895936,0.803446,0.84901,0.874117,0.885813,0.901668,0.89457,0.861637,0.829942,0.800486,0.75794,0.754273,0.753251,0.762672,0.763927,0.754586,0.732414,0.708078,0.724067
2014,7,14,0.783966,0.905503,0.898703,0.894069,0.837018,0.685644,0.56713,0.801688,0.869117,0.918873,0.936436,0.949133,0.925971,0.896867,0.875641,0.846037,0.81299,0.843128,0.84514,0.821532,0.811815,0.792933,0.749851,0.716289
2014,7,15,0.773904,0.766637,0.680603,0.624347,0.582471,0.643203,0.719969,0.769905,0.697746,0.624231,0.564543,0.477674,0.401013,0.383243,0.365022,0.317238,0.295441,0.260243,0.222636,0.209636,0.239028,0.204342,0.128301,0.090465
2014,7,16,0.03481,0.014564,0.012739,0.014085,0.026819,0.042056,0.04739,0.062206,0.06378,0.038114,0.045997,0.057097,0.055977,0.053725,0.074625,0.115201,0.145907,0.142715,0.147998,0.146378,0.169037,0.205783,0.227583,0.225488
2014,7,17,0.227223,0.235049,0.260503,0.307093,0.359743,0.366146,0.423709,0.474751,0.449767,0.335722,0.310216,0.32993,0.386353,0.369977,0.314834,0.279055,0.28933,0.273123,0.258681,0.220223,0.144701,0.166443,0.755352,0.841561
2014,7,18,0.172131,0.111976,0.13394,0.208005,0.199373,0.064725,0.110805,0.063013,0.114639,0.078835,0.041464,0.034011,0.053001,0.073933,0.106623,0.15992,0.20108,0.236561,0.278036,0.266643,0.266841,0.246116,0.232975,0.412378
2014,7,19,0.419308,0.656583,0.718522,0.752186,0.764899,0.676522,0.570965,0.713299,0.746284,0.806292,0.831107,0.844213,0.822929,0.799546,0.768202,0.762442,0.7681,0.803926,0.768667,0.761415,0.739166,0.722421,0.765546,0.729946
2014,7,20,0.672237,0.723115,0.711041,0.729238,0.718953,0.671368,0.690362,0.806067,0.845657,0.852178,0.84961,0.836094,0.802904,0.830384,0.826353,0.804764,0.802203,0.800046,0.75197,0.681802,0.67288,0.723265,0.880737,0.879121
2014,7,21,0.913188,0.911834,0.901306,0.887415,0.863266,0.828398,0.858864,0.940624,0.952458,0.976072,0.983994,0.985738,0.984883,0.984457,0.959556,0.923379,0.884837,0.887074,0.912801,0.941388,0.938715,0.926849,0.923884,0.922258
2014,7,22,0.90851,0.903015,0.92304,0.943429,0.94248,0.943321,0.958257,0.978802,0.985509,0.989915,0.993139,0.995502,0.996259,0.996231,0.996062,0.997699,0.997722,0.997821,0.997428,0.998489,0.997298,0.996782,0.997943,0.997402
