Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2014,7,1,0.965456,0.962327,0.978966,0.964663,0.874921,0.781041,0.697545,0.626633,0.694028,0.660682,0.612754,0.588122,0.56455,0.553051,0.465096,0.409289,0.349574,0.364057,0.355144,0.365371,0.280208,0.252815,0.251182,0.258723
2014,7,2,0.845736,0.895388,0.938238,0.930954,0.686749,0.94009,0.584344,0.612867,0.695027,0.743423,0.671342,0.880667,0.590978,0.667634,0.953009,0.895287,0.97673,0.636604,0.526049,0.811864,0.801833,0.659927,0.627851,0.697401
2014,7,3,0.730169,0.884186,0.876656,0.828223,0.708303,0.680138,0.531731,0.443155,0.283713,0.114821,0.086071,0.182418,0.173459,0.237589,0.281109,0.22216,0.317514,0.533493,0.452197,0.539243,0.545376,0.621293,0.655167,0.710211
2014,7,4,0.716384,0.631632,0.572582,0.596996,0.556303,0.519584,0.490278,0.867152,0.952296,0.946863,0.927251,0.781564,0.768365,0.725754,0.730059,0.706518,0.68339,0.708134,0.704135,0.653959,0.558197,0.449686,0.257512,0.226468
2014,7,5,0.216571,0.468153,0.763546,0.857354,0.836765,0.83411,0.914902,0.950847,0.933693,0.93538,0.905392,0.910334,0.915436,0.976844,0.96067,0.898882,0.857465,0.872033,0.894702,0.902373,0.899375,0.889911,0.855404,0.877166
2014,7,6,0.851154,0.9218,0.916711,0.88345,0.648198,0.367271,0.241225,0.181185,0.129814,0.212937,0.258154,0.223178,0.192874,0.252286,0.306785,0.348554,0.30767,0.31657,0.330329,0.498312,0.59875,0.613481,0.613652,0.559776
2014,7,7,0.473706,0.449044,0.333955,0.293207,0.212331,0.158527,0.111971,0.192514,0.33983,0.40968,0.423636,0.47563,0.512802,0.484218,0.498908,0.478942,0.417095,0.388681,0.417052,0.440038,0.338621,0.257407,0.12977,0.095188
2014,7,8,0.016596,0,0,0.020769,0.033735,0.044752,0,0,0,0.017208,0.020804,0.02935,0.021137,0.030066,0.035303,0.05487,0.023397,0.022678,0.015954,0,0.020285,0.019149,0.022228,0.07502
2014,7,9,0.14394,0.13718,0.171979,0.213669,0.195188,0.122002,0.057653,0.023321,0,0,0,0,0.016727,0.025289,0.034012,0.04552,0.039229,0.019978,0.016534,0,0,0,0,0.028233
2014,7,10,0.073112,0.102799,0.100746,0.076562,0.048845,0.065535,0.028063,0.064806,0.100613,0.154449,0.331129,0.695411,0.801526,0.749735,0.723061,0.670556,0.638818,0.679396,0.779682,0.800028,0.884941,0.970198,0.983404,0.986383
2014,7,11,0.99427,0.983211,0.19032,0.054288,0.407365,0.750463,0.76051,0.657913,0.443478,0.255432,0.175579,0.133898,0.663969,0.941022,0.979673,0.957014,0.961964,0.948377,0.962972,0.843222,0.693981,0.796302,0.916325,0.894915
