Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2014,7,1,0.506875,0.492806,0.495244,0.491078,0.480718,0.43929,0.451848,0.460617,0.459222,0.373173,0.347608,0.314402,0.337303,0.335536,0.302983,0.249914,0.209538,0.171725,0.140041,0.156,0.17925,0.16641,0.114421,0.091045
2014,7,2,0.877253,0.808959,0.868271,0.840811,0.910204,0.971387,0.955148,0.940556,0.972748,0.987464,0.994322,0.992911,0.995298,0.975863,0.84644,0.925571,0.911165,0.903487,0.88672,0.838016,0.798295,0.815007,0.811427,0.884461
2014,7,3,0.917937,0.896969,0.864403,0.845744,0.865275,0.896063,0.900731,0.91347,0.968167,0.961966,0.972972,0.979234,0.932438,0.938523,0.96447,0.98412,0.989746,0.992069,0.985026,0.969763,0.936757,0.901119,0.897973,0.925216
2014,7,4,0.928135,0.956325,0.971601,0.966636,0.940513,0.920848,0.733697,0.770874,0.786514,0.77052,0.769089,0.783774,0.768944,0.755209,0.781574,0.876818,0.87614,0.888515,0.798294,0.804207,0.819897,0.796406,0.832348,0.886004
2014,7,5,0.905326,0.906162,0.893609,0.890169,0.886239,0.869822,0.751018,0.819441,0.856122,0.890184,0.920108,0.915528,0.896953,0.873611,0.830802,0.716729,0.574585,0.561982,0.623177,0.651318,0.606385,0.494537,0.39832,0.356601
2014,7,6,0.27162,0.151673,0.097221,0.083512,0.074926,0.070931,0.084489,0.089988,0.108105,0.118516,0.125764,0.135532,0.135219,0.14721,0.146302,0.140108,0.124828,0.123576,0.134272,0.162803,0.192118,0.23274,0.206205,0.172652
2014,7,7,0.08029,0.094409,0.129246,0.19786,0.199001,0.152861,0.111176,0.13153,0.227638,0.334136,0.312448,0.282991,0.288253,0.272462,0.262444,0.262912,0.221719,0.198233,0.204253,0.215728,0.258147,0.305569,0.298682,0.262088
2014,7,8,0.127297,0.072296,0.061353,0.050778,0.040989,0.023938,0.02516,0.029598,0.06019,0.081402,0.103376,0.130108,0.165708,0.213531,0.284569,0.402447,0.469414,0.584031,0.658801,0.677607,0.684847,0.744877,0.752569,0.762668
2014,7,9,0.468151,0.304327,0.269255,0.23721,0.179202,0.129274,0.170231,0.25235,0.3518,0.465355,0.516648,0.561548,0.568699,0.638264,0.646687,0.655748,0.658846,0.728891,0.745905,0.76447,0.773988,0.775532,0.746971,0.610615
2014,7,10,0.410085,0.423137,0.432452,0.452359,0.500034,0.522475,0.572748,0.749717,0.928403,0.989531,0.879532,0.897363,0.901656,0.633765,0.233826,0.442904,0.423682,0.399153,0.292441,0.194539,0.139068,0.079076,0.067872,0.065387
