Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2014,7,1,0.039284,0.060687,0.10938,0.178378,0.243657,0.282057,0.342622,0.342929,0.276251,0.169767,0.13665,0.118032,0.073626,0.093372,0.082793,0.055303,0.031469,0.039154,0.054475,0.04538,0.040742,0.027198,0,0.043425
2014,7,2,0.994281,0.997088,0.996871,0.995826,0.995077,0.996589,0.992831,0.995468,0.995272,0.996615,0.985549,0.983798,0.981803,0.972321,0.949451,0.997548,0.981971,0.986647,0.997569,0.998156,0.99021,0.973655,0.976995,0.985261
2014,7,3,0.994571,0.999283,1,1,0.999327,0.990512,0.948989,0.952067,0.981453,0.970477,0.944495,0.91494,0.98441,0.98536,0.986705,0.99142,0.969882,0.988377,0.99196,0.988988,0.990438,0.984288,0.969243,0.947285
2014,7,4,0.996283,0.999259,0.995062,0.959819,0.985263,0.945206,0.973966,0.987016,0.970323,0.939761,0.913158,0.916936,0.854472,0.882237,0.895426,0.878454,0.846955,0.897566,0.883104,0.879496,0.866524,0.82668,0.763392,0.803385
2014,7,5,0.85673,0.868071,0.893931,0.971289,0.966614,0.910533,0.947019,0.966911,0.959089,0.942911,0.914322,0.89969,0.921835,0.933096,0.826137,0.708186,0.725724,0.742188,0.808963,0.771589,0.740954,0.727666,0.806441,0.919495
2014,7,6,0.884916,0.865551,0.823065,0.80093,0.721355,0.525804,0.393705,0.360103,0.343218,0.288194,0.273042,0.25581,0.230543,0.21327,0.202002,0.196661,0.205339,0.207728,0.198734,0.18897,0.171736,0.120404,0.105972,0.135746
2014,7,7,0.162882,0.203567,0.218941,0.232438,0.213035,0.161085,0.083266,0.047825,0.159093,0.187423,0.192026,0.198587,0.166756,0.143175,0.156427,0.175812,0.18647,0.212914,0.240231,0.218399,0.245508,0.209436,0.231615,0.252925
2014,7,8,0.167724,0.124461,0.097034,0.103073,0.130135,0.11833,0.092179,0.063355,0.05151,0.077758,0.117441,0.09385,0.096994,0.114223,0.110586,0.105597,0.138296,0.138383,0.136381,0.138066,0.137591,0.119442,0.111515,0.18752
2014,7,9,0.119209,0.088997,0.085099,0.082608,0.083491,0.089303,0.110174,0.165984,0.161472,0.124553,0.085108,0.08324,0.134329,0.133565,0.120171,0.112613,0.108509,0.104467,0.096803,0.097314,0.098378,0.086367,0.064856,0.063506
2014,7,10,0.0707,0.061181,0.062378,0.083066,0.130324,0.164886,0.295146,0.362988,0.369075,0.353249,0.369036,0.584722,0.648625,0.713464,0.721592,0.861813,0.840165,0.909117,0.921333,0.843684,0.797226,0.827903,0.945215,0.951533
2014,7,11,0.94415,0.885844,0.805771,0.776225,0.718418,0.547835,0.671191,0.793926,0.76599,0.578197,0.666513,0.638522,0.527465,0.514802,0.524075,0.495594,0.451328,0.400001,0.346275,0.482565,0.462957,0.407648,0.361793,0.288271
2014,7,12,0.271578,0.36615,0.479674,0.567997,0.601001,0.555964,0.572655,0.558126,0.519488,0.524318,0.537437,0.539267,0.610897,0.685836,0.594549,0.577276,0.558245,0.562599,0.586959,0.564243,0.63811,0.607338,0.790169,0.956745
2014,7,13,0.98844,0.995861,0.99555,0.996161,0.993351,0.989615,0.968397,0.973477,0.972366,0.950666,0.944817,0.965941,0.967938,0.974201,0.970446,0.960454,0.914268,0.893182,0.822073,0.618725,0.585066,0.596399,0.850922,0.924591
2014,7,14,0.958565,0.956377,0.927685,0.91047,0.900502,0.844077,0.579813,0.646555,0.650772,0.793903,0.936219,0.933304,0.882286,0.67,0.60062,0.590044,0.49717,0.444251,0.400238,0.347513,0.393845,0.396275,0.378795,0.373903
2014,7,15,0.390677,0.372865,0.414623,0.413578,0.297038,0.251805,0.337505,0.37135,0.333556,0.266856,0.205965,0.175069,0.143758,0.137875,0.086803,0.035922,0.042478,0.039801,0.048368,0.067042,0.070944,0.044579,0.009688,0.008606
2014,7,16,0.00883,0.028507,0.026251,0.025342,0.036547,0.033336,0.076952,0.074219,0.054289,0.0533,0.06812,0.07573,0.099507,0.128768,0.186914,0.226471,0.256219,0.287369,0.292177,0.273071,0.286277,0.189347,0.184656,0.202439
2014,7,17,0.194519,0.226295,0.195316,0.152639,0.124823,0.104886,0.180918,0.29953,0.380631,0.296761,0.373189,0.465324,0.568167,0.541162,0.530749,0.442149,0.400021,0.327932,0.343009,0.341952,0.232443,0.114747,0.366206,0.532619
2014,7,18,0.151572,0.070976,0.140782,0.330586,0.333615,0.189684,0.177874,0.061158,0.062837,0.033502,0.030162,0.013988,0.02579,0.037255,0.055908,0.11058,0.157856,0.190069,0.306927,0.328252,0.211535,0.20233,0.202913,0.295334
2014,7,19,0.351597,0.460211,0.542019,0.58295,0.577875,0.46635,0.558372,0.545817,0.507013,0.517213,0.493979,0.447947,0.565096,0.621135,0.503745,0.435995,0.418588,0.457453,0.463039,0.460007,0.433993,0.443214,0.48373,0.519761
2014,7,20,0.492859,0.525603,0.648692,0.716465,0.673806,0.531886,0.559418,0.601069,0.619873,0.499666,0.416948,0.387692,0.470663,0.613658,0.702938,0.680891,0.784561,0.85871,0.802392,0.748111,0.652311,0.58719,0.914843,0.953476
2014,7,21,0.987906,0.994534,0.996606,0.996753,0.99308,0.987106,0.979842,0.983663,0.97504,0.985939,0.981807,0.967249,0.922556,0.864326,0.921285,0.794608,0.649248,0.637201,0.637814,0.587343,0.656799,0.711731,0.82162,0.809799
2014,7,22,0.905503,0.963703,0.98207,0.996074,0.996857,0.987135,0.950762,0.941802,0.965478,0.996186,0.99628,0.9969,0.995725,0.994581,0.992363,0.998522,0.998989,0.999492,0.996859,0.990592,0.996978,0.994776,0.997749,0.998713
2014,7,23,1,0.9165,0.952028,1,0.951229,0.971065,0.88424,0.667917,0.656987,0.625488,0.602496,0.948719,0.960253,0.965907,0.963525,0.813185,0.695443,0.473737,0.283981,0.271919,0.297207,0.339818,0.345435,0.366943
2014,7,24,0.417641,0.507941,0.404406,0.383859,0.280436,0.268609,0.273504,0.276936,0.19991,0.224499,0.213688,0.194091,0.173127,0.13919,0.140684,0.117464,0.082285,0.060303,0.066871,0.06481,0.083658,0.056104,0.008524,0.036993
2014,7,25,0.056609,0.085658,0.131753,0.211951,0.239595,0.221227,0.302405,0.379669,0.4409,0.317126,0.281831,0.248662,0.19971,0.209134,0.176507,0.166817,0.133905,0.118113,0.14867,0.128706,0.091938,0.064256,0.021171,0.018786
2014,7,26,0.024287,0.054707,0.032656,0.063394,0.084641,0.107214,0.194497,0.215926,0.407559,0.502879,0.508191,0.494719,0.469544,0.761681,0.9538,0.971979,0.885545,0.882813,0.978264,0.984384,0.985217,0.789432,0.601262,0.633619
2014,7,27,0.496332,0.387263,0.320262,0.212937,0.19458,0.323254,0.326015,0.369534,0.361672,0.350228,0.290025,0.305803,0.235601,0.257496,0.334518,0.36539,0.368974,0.329507,0.231786,0.176287,0.19892,0.122701,0.167866,0.218903
2014,7,28,0.368493,0.582536,0.723139,0.665476,0.640525,0.670622,0.595386,0.683966,0.615641,0.502861,0.385451,0.347818,0.345914,0.358372,0.375318,0.327583,0.268997,0.276513,0.280955,0.261686,0.265381,0.310505,0.329258,0.276246
2014,7,29,0.24187,0.219225,0.279148,0.268795,0.20544,0.16917,0.238703,0.272301,0.303948,0.238687,0.220374,0.181561,0.193385,0.1703,0.170126,0.169163,0.17482,0.19361,0.185504,0.163272,0.166642,0.078781,0.122294,0.134644
2014,7,30,0.120263,0.087153,0.070791,0.074775,0.078861,0.078155,0.072921,0.104535,0.119649,0.049066,0.05963,0.109149,0.11641,0.093884,0.11635,0.108771,0.085433,0.072061,0.111531,0.096932,0.090833,0.038595,0.047061,0.078951
