Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2014,7,1,0.726041,0.678113,0.657887,0.742501,0.691351,0.646375,0.532615,0.527401,0.451611,0.374555,0.353077,0.324704,0.186644,0.171079,0.129164,0.095483,0.090338,0.053047,0.031651,0.0121,0.010095,0.021907,0,0
2014,7,2,0.899384,0.701049,0.69548,0.699923,0.519206,0.353326,0.414984,0.490383,0.416331,0.236644,0.098832,0.151215,0.172076,0.291995,0.238771,0.191822,0.280489,0.666397,0.807988,0.725268,0.603691,0.623943,0.509038,0.519274
2014,7,3,0.481302,0.538698,0.499248,0.400372,0.311791,0.211939,0.143742,0.155995,0.151433,0.117525,0.085832,0.10557,0.126073,0.158513,0.263969,0.383772,0.394534,0.440025,0.533923,0.616936,0.70689,0.802347,0.83537,0.822533
2014,7,4,0.85811,0.895359,0.923409,0.968374,0.979072,0.972095,0.957327,0.929652,0.862391,0.803188,0.744795,0.720886,0.67751,0.683875,0.739554,0.764287,0.75957,0.762254,0.709622,0.639213,0.577222,0.462146,0.313381,0.598288
2014,7,5,0.753091,0.792707,0.836138,0.854468,0.902419,0.917841,0.889148,0.922296,0.905105,0.90493,0.915423,0.905674,0.898097,0.940655,0.956365,0.968725,0.96314,0.961176,0.954658,0.967755,0.957201,0.917078,0.896633,0.940876
2014,7,6,0.943923,0.909531,0.905203,0.86967,0.722262,0.578199,0.497066,0.435547,0.429172,0.610303,0.683695,0.679485,0.606237,0.588182,0.495705,0.50758,0.581589,0.455552,0.477557,0.431576,0.442492,0.41512,0.402655,0.614099
2014,7,7,0.640434,0.675374,0.632379,0.611189,0.541228,0.407895,0.380483,0.307302,0.294704,0.251886,0.188241,0.148588,0.117627,0.103785,0.103129,0.153236,0.095908,0.092476,0.098563,0.089579,0.069245,0.058796,0.025637,0.009349
2014,7,8,0,0,0,0,0,0.022425,0.031329,0.050561,0.067088,0.091019,0.091563,0.096036,0.08887,0.085983,0.077466,0.073353,0.084465,0.07387,0.092592,0.108733,0.135361,0.111698,0.106033,0.107878
2014,7,9,0.144234,0.138199,0.127224,0.086503,0.093765,0.10562,0.103676,0.082016,0.069593,0.073035,0.085729,0.085401,0.107835,0.110043,0.110673,0.100975,0.081008,0.064539,0.053215,0.061571,0.058358,0.042939,0.071717,0.058338
2014,7,10,0.061378,0.07,0.044248,0.02787,0.056708,0.058045,0.092292,0.144368,0.230691,0.265726,0.300194,0.36932,0.349574,0.284435,0.336002,0.442489,0.226191,0.255814,0.351593,0.345354,0.396444,0.463026,0.492095,0.50469
2014,7,11,0.561184,0.596713,0.547503,0.360661,0.202682,0.099344,0.039707,0.059342,0.070398,0.077263,0.088301,0.145971,0.175386,0.240688,0.402422,0.428115,0.398546,0.40933,0.348101,0.343055,0.358846,0.398147,0.425292,0.408432
2014,7,12,0.466239,0.486478,0.515038,0.584393,0.558728,0.486642,0.37389,0.475919,0.487547,0.442299,0.439737,0.399407,0.340855,0.307544,0.240528,0.147587,0.142011,0.124614,0.112224,0.088291,0.106264,0.071913,0.108197,0.095071
2014,7,13,0.14217,0.134001,0.156611,0.15481,0.17676,0.191081,0.19029,0.167851,0.216179,0.259886,0.339142,0.412513,0.400991,0.382892,0.348602,0.256741,0.406121,0.492871,0.588466,0.509025,0.52338,0.609628,0.573746,0.644918
2014,7,14,0.726199,0.768221,0.738936,0.64702,0.509958,0.480314,0.403605,0.453622,0.451409,0.446275,0.40016,0.360034,0.334301,0.331529,0.305242,0.257223,0.229543,0.269497,0.238461,0.226095,0.24749,0.249319,0.121926,0.073825
2014,7,15,0.061377,0.039674,0.022267,0.021151,0.008638,0,0,0,0.010286,0.028701,0.019655,0.020251,0.02874,0.049748,0.039583,0.032123,0.018868,0.008328,0,0,0,0,0,0.010496
