Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2014,7,1,0.072417,0.082207,0.072568,0.059697,0.059015,0.078563,0.05936,0.176537,0.240155,0.318244,0.501921,0.486961,0.412512,0.46268,0.427272,0.440139,0.624399,0.789199,0.768295,0.83093,0.769343,0.883293,0.930757,0.963828
2014,7,2,0.896902,0.910551,0.934335,0.957232,0.862112,0.832359,0.7535,0.862063,0.926607,0.904519,0.849487,0.876746,0.918018,0.921004,0.931331,0.873379,0.832853,0.798356,0.820508,0.882664,0.90999,0.795176,0.669305,0.703588
2014,7,3,0.640046,0.681536,0.714116,0.731771,0.676729,0.561897,0.425035,0.689862,0.923312,0.97358,0.979789,0.98306,0.98181,0.975407,0.968182,0.974791,0.980523,0.979839,0.969263,0.975834,0.970532,0.997701,1,1
2014,7,4,1,1,0.998907,0.998111,0.996716,0.99022,0.995006,0.912455,0.967479,0.985625,0.982703,0.978978,0.973753,0.922889,0.815113,0.774602,0.805555,0.789532,0.82547,0.834607,0.844974,0.797483,0.786488,0.624738
2014,7,5,0.685064,0.677032,0.660093,0.646842,0.600341,0.469556,0.456385,0.869509,0.965889,0.973781,0.968117,0.964078,0.969708,0.965457,0.967433,0.963557,0.961037,0.96558,0.97068,0.956684,0.942251,0.839384,0.747461,0.533588
2014,7,6,0.555906,0.417037,0.264552,0.151559,0.098841,0.054324,0.043228,0.104829,0.154262,0.219831,0.259167,0.339202,0.308807,0.320484,0.107316,0.090055,0.062047,0.039483,0.061431,0.097746,0.107071,0.070016,0.081908,0.115546
2014,7,7,0.125629,0.153513,0.156077,0.155186,0.112681,0.082141,0.095073,0.08496,0.071977,0.052618,0.035208,0.05156,0.069315,0.081125,0.092463,0.202208,0.224809,0.266627,0.321078,0.343636,0.328228,0.251287,0.17304,0.251164
2014,7,8,0.477411,0.592878,0.65103,0.65989,0.670306,0.683069,0.748,0.729239,0.772442,0.88916,0.941513,0.906037,0.746668,0.658833,0.629049,0.566438,0.465701,0.463652,0.448566,0.410327,0.295237,0.419052,0.322913,0.416639
2014,7,9,0.60208,0.638705,0.49833,0.466546,0.525693,0.395777,0.365383,0.531246,0.603221,0.52507,0.595361,0.50848,0.258681,0.161029,0.144376,0.11711,0.107016,0.188413,0.188024,0.179804,0.242542,0.209846,0.11594,0.141866
2014,7,10,0.237563,0.279579,0.268921,0.295975,0.293284,0.25331,0.200489,0.2788,0.212418,0.207722,0.238613,0.214172,0.212753,0.312203,0.369078,0.439043,0.830474,0.887565,0.809523,0.82304,0.684461,0.307665,0.46841,0.614637
2014,7,11,0.782527,0.875857,0.82342,0.7048,0.538042,0.479199,0.474868,0.674468,0.583979,0.660816,0.728965,0.744929,0.7854,0.657098,0.259266,0.05798,0.024084,0.160585,0.143779,0.239256,0.297293,0.201056,0.041859,0.040641
2014,7,12,0.054715,0.044296,0.059174,0.074076,0.101992,0.08232,0.090472,0.063851,0.062106,0.047696,0.076594,0.141625,0.231385,0.495953,0.540267,0.432428,0.410229,0.488042,0.497944,0.51169,0.582889,0.481892,0.593424,0.673772
2014,7,13,0.673626,0.617911,0.597737,0.640298,0.652078,0.58291,0.52987,0.591684,0.600484,0.606137,0.669492,0.695058,0.719337,0.819703,0.786682,0.710096,0.62864,0.535793,0.564321,0.714095,0.808101,0.820926,0.815708,0.76682
2014,7,14,0.783908,0.859932,0.765643,0.734172,0.616048,0.33035,0.168818,0.372175,0.42896,0.449666,0.494382,0.557028,0.703063,0.778435,0.739942,0.68344,0.712045,0.782437,0.859251,0.802672,0.671912,0.505668,0.444014,0.51289
2014,7,15,0.630535,0.724361,0.772509,0.804962,0.746746,0.509546,0.408517,0.423406,0.475768,0.458469,0.543459,0.55477,0.580396,0.570243,0.665082,0.704531,0.700191,0.639025,0.614289,0.577562,0.546717,0.341239,0.282663,0.172223
2014,7,16,0.173768,0.17746,0.183578,0.162105,0.11315,0.104955,0.141709,0.192777,0.162938,0.129893,0.148598,0.220891,0.275706,0.294669,0.269015,0.274451,0.172533,0.144382,0.191635,0.187547,0.193156,0.076893,0.09314,0.142265
2014,7,17,0.20312,0.21365,0.233954,0.427861,0.504703,0.563819,0.586523,0.59535,0.657339,0.685444,0.603384,0.629136,0.6603,0.702731,0.676009,0.589381,0.64382,0.681951,0.690418,0.710192,0.569519,0.313088,0.326093,0.603211
2014,7,18,0.911079,0.890954,0.720306,0.312585,0.398844,0.503004,0.735737,0.307564,0.533063,0.544416,0.331782,0.748721,0.510145,0.622645,0.465106,0.341253,0.369116,0.361522,0.364018,0.221763,0.21922,0.130056,0.009857,0.032839
2014,7,19,0.043449,0.085284,0.095169,0.152863,0.178604,0.130525,0.07552,0.103048,0.176478,0.255385,0.365086,0.503647,0.470142,0.409393,0.220302,0.210752,0.392531,0.463527,0.530155,0.580364,0.643947,0.665442,0.542797,0.426574
2014,7,20,0.401437,0.387192,0.340267,0.277113,0.265822,0.230938,0.231886,0.413113,0.414842,0.400918,0.485469,0.560876,0.61901,0.606623,0.617521,0.595418,0.566334,0.584909,0.555075,0.536971,0.578043,0.537998,0.380619,0.295251
2014,7,21,0.331205,0.365338,0.418148,0.51968,0.551119,0.455433,0.449587,0.534757,0.575822,0.63327,0.68092,0.695787,0.740012,0.75489,0.802483,0.833842,0.858836,0.906416,0.944185,0.940517,0.933654,0.922496,0.934727,0.94324
2014,7,22,0.917945,0.887285,0.892546,0.889425,0.845736,0.803465,0.661916,0.635324,0.625912,0.591682,0.587946,0.637318,0.69246,0.851148,0.955906,0.991997,0.995903,0.996553,0.996473,0.995817,0.99378,0.99253,0.991637,0.994984
2014,7,23,0.996524,0.997444,0.997037,0.99529,0.98698,0.980729,0.954024,0.931487,0.878758,0.830927,0.887205,0.923306,0.96204,0.994354,0.980826,0.918809,0.684789,0.663689,0.606293,0.593118,0.633384,0.590212,0.599115,0.536526
