Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2014,7,1,0.880049,0.852389,0.778213,0.716759,0.683672,0.560069,0.371135,0.348154,0.368832,0.39728,0.455137,0.447171,0.355624,0.219433,0.185213,0.090563,0.157749,0.195974,0.149899,0.121961,0.08045,0.025219,0,0
2014,7,2,0.927949,0.871749,0.838783,0.960515,0.856959,0.95276,0.971889,0.089983,0.770353,0.927257,0.764189,0.987399,0.94045,0.702899,0.874812,0.99597,0.894887,0.943589,0.905279,0.760337,0.712741,0.484729,0.637077,0.581776
2014,7,3,0.304376,0.555679,0.703645,0.657616,0.551595,0.719692,0.504958,0.129887,0.026008,0,0.028469,0.053972,0,0.143559,0.190075,0.397213,0.45035,0.358741,0.480885,0.584135,0.764842,0.834163,0.732515,0.900505
2014,7,4,0.891545,0.930019,0.980083,0.987948,0.984731,0.982007,0.951879,0.945818,0.939064,0.906981,0.877999,0.837667,0.763102,0.719283,0.617153,0.643356,0.655223,0.637229,0.476313,0.44026,0.715546,0.865204,0.837697,0.868039
2014,7,5,0.927706,0.868484,0.903814,0.938014,0.941524,0.96898,0.947528,0.967629,0.969758,0.843319,0.951224,0.97163,0.908515,0.867258,0.928715,0.859777,0.862668,0.767409,0.828712,0.696521,0.77352,0.860256,0.766814,0.85774
2014,7,6,0.899304,0.831918,0.569502,0.544826,0.512047,0.404083,0.276799,0.247341,0.243783,0.329453,0.277943,0.307935,0.226959,0.293825,0.345088,0.266921,0.31418,0.144035,0.160464,0.22303,0.238454,0.108707,0.218243,0.453054
2014,7,7,0.513312,0.613311,0.514944,0.562956,0.609807,0.412395,0.311382,0.31359,0.26883,0.271758,0.21152,0.167828,0.137618,0.088898,0.087,0.114137,0.123093,0.131713,0.126473,0.109834,0.090174,0.084613,0.026393,0
2014,7,8,0,0.009137,0.059308,0.118281,0.122262,0.208757,0.146407,0.153714,0.270414,0.388888,0.460537,0.401084,0.498465,0.467021,0.513089,0.571042,0.541801,0.576125,0.596487,0.553815,0.560288,0.565386,0.545899,0.597297
2014,7,9,0.46687,0.368998,0.317723,0.282345,0.227071,0.148758,0.134405,0.100119,0.102971,0.126544,0.207306,0.318727,0.305262,0.316914,0.354539,0.38161,0.408106,0.366662,0.26186,0.199545,0.177623,0.167731,0.176679,0.199691
2014,7,10,0.259138,0.248424,0.26452,0.248974,0.26614,0.276244,0.322511,0.473216,0.650219,0.908965,0.990374,0.992054,0.943961,0.942112,0.975658,0.925928,0.884048,0.712607,0.614619,0.671395,0.635477,0.474325,0.716579,0
2014,7,11,0,0.113739,0.037868,0.061615,0.291632,0.429731,0.599379,0.733557,0.840072,0.847605,0.884136,0.921163,0.93808,0.949675,0.918981,0.950445,0.964454,0.968532,0.977459,0.98094,0.980116,0.986639,0.986901,0.972461
2014,7,12,0.99451,0.997698,0.998178,0.997798,0.995807,0.998873,0.986821,0.980218,0.984462,0.948303,0.915102,0.843198,0.820909,0.789967,0.816051,0.730612,0.57261,0.576975,0.602383,0.927079,0.789695,0.837521,0.830818,0.841459
2014,7,13,0.959826,0.926562,0.983765,0.96254,0.903257,0.979069,0.981868,0.969089,0.96982,0.983275,0.987789,0.967276,0.79208,0.870979,0.691013,0.548352,0.436234,0.699652,0.644647,0.392696,0.451132,0.397426,0.3892,0.384846
2014,7,14,0.391859,0.48813,0.329699,0.263981,0.241108,0.216861,0.163526,0.288232,0.26724,0.334314,0.217187,0.220505,0.21886,0.21178,0.266783,0.230023,0.216723,0.193083,0.149485,0.099544,0.071509,0.060555,0.073912,0.073685
2014,7,15,0.108922,0.160563,0.162938,0.082714,0.074458,0.076856,0.098104,0.080828,0.028167,0.009972,0,0,0,0.023973,0.024705,0.009631,0,0,0.009128,0,0.009713,0.024197,0.061196,0.063854
2014,7,16,0,0,0,0,0,0,0,0,0,0.018371,0.035825,0.056901,0.049568,0.043322,0.017149,0.018803,0.033266,0.044111,0.018371,0,0.070333,0.079987,0.07265,0.008267
2014,7,17,0.009599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00935,0.024363,0.120886,0.105282,0.202454,0.310651
2014,7,18,0.378204,0.43562,0.460505,0.399162,0.444073,0.49371,0.289595,0.303137,0.321152,0.289958,0.302283,0.309941,0.33073,0.313763,0.301393,0.320656,0.313232,0.311501,0.329606,0.356631,0.412894,0.346787,0.274553,0.356988
2014,7,19,0.312654,0.19994,0.204207,0.135883,0.08711,0.067031,0.098554,0.168539,0.253151,0.324706,0.482202,0.661266,0.708395,0.950705,0.654021,0.921112,0.856471,0.817057,0.76329,0.746121,0.685418,0.660391,0.512644,0.759803
2014,7,20,0.859268,0.85195,0.786619,0.734882,0.925513,0.928576,0.862015,0.853762,0.718688,0.739359,0.628456,0.855282,0.772606,0.949994,0.95001,0.94763,0.936781,0.981477,0.9719,0.989545,0.988765,0.989419,0.995987,0.997877
2014,7,21,0.999216,1,1,0.998331,0.941281,0.803464,0.62918,0.363314,0.314658,0.172957,0.226848,0.092388,0.037176,0.022424,0.025914,0.024325,0,0,0,0,0,0,0,0
2014,7,22,0,0.02428,0.055586,0.06135,0.092791,0.144333,0.184859,0.279633,0.281723,0.298956,0.500437,0.530776,0.627272,0.347256,0.525098,0.837952,0.781803,0.800913,0.647509,0.897425,0.705528,0.717479,0.917299,0.78591
2014,7,23,0.779464,0.489565,0.474104,0.855089,0.931882,0.866767,0.860737,0.872675,0.632753,0.146697,0.374643,0.731589,0.801515,0.903998,0.811516,0.567023,0.337215,0.280137,0.28298,0.351505,0.276095,0.163277,0.13003,0.161101
2014,7,24,0.170225,0.148064,0.142366,0.20521,0.227938,0.136389,0.101926,0.067949,0.053817,0.050331,0,0.025925,0.065989,0.063024,0.060551,0.060127,0.06523,0.057693,0.024751,0,0.203611,0.46521,0.393213,0.344678
2014,7,25,0.642785,0.815929,0.790097,0.744998,0.675493,0.648982,0.776084,0.915173,0.940696,0.937967,0.954675,0.95706,0.543263,0.471027,0.43115,0.210917,0.147068,0.085143,0.025318,0,0,0,0,0.054291
2014,7,26,0.200036,0.178449,0.163172,0.202612,0.146183,0.163775,0.191939,0.174181,0.24404,0.193013,0.199312,0.186179,0.229947,0.359828,0.32451,0.188177,0.126152,0.093152,0.071708,0.10384,0.169531,0.127111,0.217021,0.259619
2014,7,27,0.265149,0.299582,0.376435,0.343236,0.286852,0.265155,0.217569,0.208018,0.192361,0.22878,0.470351,0.453315,0.516178,0.581968,0.758789,0.881123,0.977355,0.952299,0.75675,0.574234,0.508052,0.425276,0.504095,0.634349
2014,7,28,0.290563,0.450736,0.8001,0.615613,0.328574,0.616112,0.548805,0.566843,0.635626,0.605952,0.526088,0.632384,0.552379,0.708453,0.568428,0.755847,0.723341,0.707077,0.746959,0.740266,0.819561,0.798711,0.567458,0.529462
2014,7,29,0.70066,0.909415,0.912548,0.880042,0.866009,0.919656,0.94368,0.884064,0.935481,0.945512,0.939632,0.913923,0.911565,0.893828,0.745348,0.835356,0.716385,0.725075,0.721264,0.723971,0.714118,0.670394,0.663416,0.662019
2014,7,30,0.533879,0.538856,0.744667,0.780689,0.722631,0.492977,0.251821,0.339095,0.480513,0.660529,0.641028,0.352525,0.43491,0.636853,0.768584,0.867682,0.849649,0.817053,0.888868,0.947576,0.969809,0.977643,0.967735,0.965962
2014,7,31,0.954132,0.94073,0.87405,0.78173,0.560051,0.514419,0.428956,0.317196,0.250391,0.17047,0.1426,0.12847,0.132256,0.157426,0.175561,0.100991,0.077763,0.17231,0.183324,0.166266,0.33362,0.306224,0.22654,0.385641
2014,8,1,0.648041,0.893271,0.867096,0.721659,0.486295,0.277804,0.281525,0.367602,0.539378,0.661426,0.387283,0.523317,0.496294,0.625076,0.818459,0.701351,0.785084,0.70122,0.889366,0.938223,0.948458,0.96094,0.969569,0.973423
2014,8,2,0.990692,0.992819,0.992162,0.969047,0.939468,0.903601,0.632759,0.391254,0.266962,0.156866,0.098705,0.09168,0.074742,0.139717,0.237165,0.268482,0.534487,0.77572,0.867639,0.896436,0.861395,0.895709,0.935873,0.945258
2014,8,3,0.979128,0.97219,0.974427,0.986314,0.993538,0.995998,0.996031,0.997735,0.998494,0.999169,0.99663,0.97691,0.977125,0.810569,0.686893,0.715893,0.92649,0.736225,0.733951,0.278828,0.275143,0.508491,0.744481,0.911305
2014,8,4,0.914394,0.720263,0.468085,0.44356,0.438373,0.523965,0.617954,0.791349,0.908427,0.964502,0.99425,0.990671,0.990255,0.997787,0.998991,0.996997,0.994978,0.993195,0.972215,0.883326,0.762371,0.773641,0.794698,0.545873
2014,8,5,0.577733,0.605595,0.529356,0.478136,0.281273,0.248986,0.266201,0.28087,0.184337,0.156528,0.265645,0.322191,0.240618,0.164009,0.082582,0.04002,0.106829,0.192842,0.145872,0.186095,0.239189,0.209664,0.527799,0.641069
2014,8,6,0.660777,0.61861,0.874044,0.878064,0.785764,0.87033,0.910339,0.932551,0.9135,0.983236,0.973464,0.973747,0.959526,0.947774,0.961907,0.963827,0.94852,0.934788,0.900841,0.85078,0.891629,0.852318,0.912216,0.922599
2014,8,7,0.9269,0.929685,0.965784,0.923072,0.965614,0.985436,0.988012,0.976952,0.974764,0.987678,0.992165,0.990406,1,1,0.994716,0.995106,0.882111,0.901747,0.780493,0.636282,0.594811,0.715003,0.811493,0.673417
2014,8,8,0.862342,0.986966,0.987287,0.980577,0.916829,0.687119,0.546679,0.583916,0.255642,0.308342,0.527628,0.731472,0.805138,0.919791,0.956598,0.952411,0.939102,0.927788,0.842031,0.887103,0.866662,0.68055,0.808693,0.891343
2014,8,9,0.807698,0.823233,0.841309,0.819765,0.858549,0.690445,0.632757,0.645026,0.639036,0.740825,0.743277,0.677242,0.75817,0.751948,0.693686,0.870875,0.78184,0.768304,0.759192,0.666785,0.569383,0.513452,0.532623,0.503624
2014,8,10,0.44455,0.326263,0.145685,0.065159,0.049514,0,0,0.051476,0.055611,0.069992,0,0,0,0,0,0.048177,0.112373,0.143758,0.093855,0.075582,0.069356,0.060634,0.018821,0.065753
2014,8,11,0.225404,0.475407,0.438777,0.380244,0.4046,0.280191,0.276757,0.225758,0.320188,0.544975,0.604522,0.632227,0.623908,0.663326,0.771509,0.871672,0.910027,0.889673,0.903031,0.91718,0.924777,0.933773,0.926991,0.903656
2014,8,12,0.913402,0.876106,0.884874,0.912343,0.907836,0.871876,0.766258,0.719109,0.703473,0.63462,0.596071,0.631166,0.562558,0.376225,0.258962,0.200795,0.212293,0.281219,0.3957,0.44131,0.497304,0.442012,0.183152,0.209523
2014,8,13,0.352268,0.340369,0.244804,0.122044,0.236051,0.342333,0.540198,0.4257,0.242836,0.16742,0.142524,0.143056,0.123379,0.106787,0.091427,0.081688,0.06204,0.026563,0.017866,0,0,0.024844,0.09078,0.144699
2014,8,14,0.159805,0.209132,0.281845,0.412428,0.454947,0.440629,0.374039,0.300873,0.301956,0.307897,0.298871,0.28026,0.252937,0.216692,0.18016,0.157952,0.130228,0.064469,0.073038,0.119656,0.125415,0.148952,0.112161,0.115989
2014,8,15,0.155132,0.182063,0.250217,0.259925,0.189213,0.164175,0.126177,0.167401,0.176084,0.207361,0.185046,0.195849,0.259259,0.371486,0.494436,0.540294,0.533308,0.593863,0.649611,0.594288,0.478361,0.639766,0.824954,0.90411
2014,8,16,0.96836,0.929679,0.921657,0.891558,0.82488,0.715913,0.831132,0.780327,0.68998,0.76985,0.814216,0.920509,0.975086,0.988468,0.985058,0.997955,0.993174,0.998715,0.999097,1,0.999148,0.755071,1,0.979498
2014,8,17,0.984139,0.952887,0.958173,0.850804,0.762361,0.667456,0.717302,0.622608,0.848881,0.961653,0.997742,0.973073,0.841972,0.976969,0.957525,0.865859,0.938532,0.977078,0.934326,0.880575,0.901994,0.969733,0.981774,0.979135
2014,8,18,0.971686,0.787459,0.809229,0.673726,0.889711,0.699954,0.530702,0.690006,0.800127,0.720564,0.873689,0.831418,0.777798,0.706634,0.750405,0.586218,0.69471,0.654674,0.623281,0.618495,0.482928,0.422422,0.512193,0.668279
2014,8,19,0.751249,0.696273,0.491175,0.311077,0.423103,0.615384,0.535207,0.397867,0.321082,0.31014,0.208741,0.191849,0.201083,0.165844,0.156153,0.256765,0.322325,0.39487,0.50003,0.577057,0.653511,0.711937,0.752768,0.817669
2014,8,20,0.843738,0.830462,0.789287,0.736336,0.64859,0.609621,0.606318,0.652924,0.555871,0.591447,0.541625,0.536983,0.182488,0.716086,0.418463,0.572846,0.82488,0.631703,0.18633,0.127705,0.091626,0.187892,0.11531,0.098105
2014,8,21,0.054583,0.027005,0.043956,0.049697,0.049842,0.056193,0.026365,0.051461,0.103755,0.279282,0.393264,0.502588,0.649012,0.856299,0.792255,0.776023,0.920329,0.911628,0.693921,0.962486,0.99657,0.992,0.99686,0.813243
