Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2014,7,1,0.996876,0.996133,0.991491,0.961751,0.936404,0.865168,0.849337,0.932457,0.931097,0.91664,0.900552,0.878233,0.91357,0.875273,0.864338,0.80288,0.72591,0.735947,0.721556,0.723064,0.738611,0.676873,0.758135,0.701515
2014,7,2,0.960995,0.942449,0.985462,0.953495,0.939877,0.900586,0.982293,0.999599,0.959327,0.97324,0.998847,0.999567,0.999803,0.987093,0.999878,0.996062,0.994572,0.95765,0.99219,0.997315,0.990916,0.989469,0.977979,0.909572
2014,7,3,0.95199,0.824408,0.835368,0.973163,0.976633,0.992263,0.929215,0.911511,0.918695,0.870041,0.8654,0.905582,0.978358,0.998807,0.991799,0.971022,0.910207,0.829823,0.797871,0.782751,0.794855,0.866108,0.891514,0.852193
2014,7,4,0.829601,0.940894,0.948141,0.988121,0.98023,0.970198,0.981652,0.993126,0.964252,0.993458,0.988939,0.973529,0.964687,0.958099,0.955855,0.947868,0.953816,0.973267,0.933556,0.927892,0.876089,0.840701,0.707941,0.900853
2014,7,5,0.944283,0.965311,0.958431,0.983399,0.986628,0.979746,0.99538,0.982119,0.981448,0.973157,0.960641,0.964137,0.975453,0.964527,0.968776,0.98226,0.954378,0.987234,0.945016,0.936963,0.952483,0.898611,0.956651,0.944467
2014,7,6,0.861042,0.798792,0.819128,0.786421,0.684385,0.52011,0.422512,0.420083,0.516008,0.515415,0.554701,0.413687,0.384537,0.420595,0.381905,0.413721,0.461885,0.489061,0.51647,0.540728,0.531018,0.505741,0.591663,0.689207
2014,7,7,0.663042,0.686321,0.76304,0.766943,0.556779,0.391339,0.369638,0.409634,0.353154,0.336582,0.139788,0.069481,0.080093,0.069562,0.024948,0.007943,0.022509,0.024371,0.019064,0.020078,0.043445,0.051305,0.022236,0.069216
2014,7,8,0.096435,0.107653,0.12813,0.134344,0.130165,0.142526,0.209222,0.329646,0.404146,0.427392,0.451257,0.431509,0.501605,0.54247,0.560631,0.539904,0.47777,0.423035,0.381242,0.321258,0.281986,0.18572,0.052842,0.029055
2014,7,9,0.013715,0.007856,0,0,0.015489,0.045994,0.081129,0.094951,0.172749,0.19067,0.205957,0.255081,0.291487,0.34593,0.376577,0.413703,0.479654,0.340079,0.252912,0.16136,0.147495,0.104318,0.047644,0
2014,7,10,0,0,0.025934,0.047733,0.069197,0.132862,0.212072,0.277451,0.485832,0.766976,0.938292,0.90942,0.719508,0.428088,0.225773,0.128098,0.347926,0.560121,0.799056,0.840956,0.884799,0.625527,0.230375,0.116906
2014,7,11,0.248368,0.339914,0.575682,0.810538,0.860507,0.804872,0.733603,0.715137,0.694858,0.543108,0.47856,0.378214,0.319804,0.46292,0.507617,0.668895,0.785899,0.797991,0.77428,0.755345,0.76573,0.744614,0.753698,0.840331
2014,7,12,0.8212,0.817467,0.793455,0.793187,0.825358,0.76411,0.70991,0.832228,0.896541,0.907766,0.888401,0.823436,0.837178,0.852032,0.812091,0.744406,0.653538,0.655237,0.673495,0.653981,0.666985,0.783548,0.77776,0.83827
2014,7,13,0.866941,0.859975,0.729023,0.557313,0.715431,0.913907,0.926765,0.941558,0.974626,0.983219,0.982738,0.931177,0.941613,0.941283,0.955196,0.933693,0.881673,0.861783,0.829977,0.799914,0.781821,0.65587,0.554852,0.634177
2014,7,14,0.718497,0.687162,0.564832,0.447349,0.258388,0.208221,0.251299,0.386102,0.427886,0.415176,0.452716,0.535083,0.531719,0.559156,0.526557,0.528434,0.568519,0.502968,0.445653,0.434174,0.417923,0.419436,0.329723,0.252723
2014,7,15,0.196544,0.200111,0.201036,0.157316,0.136409,0.07128,0.074517,0.090935,0.130394,0.22795,0.295472,0.323552,0.379952,0.379409,0.372264,0.357028,0.352835,0.356723,0.319726,0.288011,0.254887,0.223879,0.118853,0.088295
2014,7,16,0.093361,0.075872,0.072885,0.07694,0.044482,0.022601,0.01594,0.040198,0.042464,0.037629,0.044957,0.041368,0.043426,0.048494,0.056162,0.0497,0.033604,0.029877,0.035925,0.035219,0.050817,0.04183,0.031473,0.016868
2014,7,17,0.020333,0.04137,0.04616,0.038623,0.025526,0.05099,0.094914,0.102737,0.073768,0.031503,0.00771,0,0,0,0,0,0.008845,0.045171,0.04112,0.087189,0.220357,0.362807,0.537072,0.726617
2014,7,18,0.714571,0.611286,0.40913,0.268741,0.195012,0.245034,0.441239,0.488844,0.548899,0.61676,0.656884,0.691057,0.694153,0.623261,0.518467,0.422224,0.369307,0.383406,0.413367,0.403203,0.459939,0.468548,0.572623,0.756597
2014,7,19,0.854134,0.887455,0.817562,0.724537,0.623378,0.462745,0.619169,0.795636,0.893709,0.985678,0.996326,0.998614,0.998498,0.987085,0.980096,0.97971,0.991235,0.995148,0.989054,0.975265,0.989536,0.976773,0.97511,0.973201
2014,7,20,0.968543,0.977611,0.965278,0.938739,0.906137,0.763982,0.661691,0.807069,0.897692,0.91308,0.948261,0.966633,0.973836,0.977248,0.994301,0.994142,0.995369,0.996713,0.99658,0.997822,0.998684,0.99913,0.999454,0.999421
2014,7,21,0.99963,0.999718,0.999779,0.999768,0.999732,0.999332,0.998702,0.998882,0.984397,0.761042,0.596614,0.446681,0.376766,0.415163,0.547449,0.708874,0.772218,0.794221,0.873154,0.885489,0.868823,0.9134,0.933538,0.968171
2014,7,22,0.928569,0.892749,0.984926,0.983749,0.980559,0.934268,0.932828,0.962542,0.96936,0.976465,0.968877,0.967749,0.924619,0.911498,0.930312,0.790204,0.732421,0.686314,0.693726,0.78109,0.785874,0.727523,0.818304,0.846211
