Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2014,7,1,0.02436,0.246392,0.205997,0.027372,0.045313,0.09086,0.046748,0.028117,0.035485,0.040971,0.081725,0.064415,0.100088,0.082013,0.056552,0.028078,0.014105,0.011764,0.013477,0.035587,0.060793,0,0.015803,0.071739
2014,7,2,0.490692,0.515515,0.544532,0.552684,0.498863,0.31237,0.311688,0.311543,0.35967,0.396571,0.406149,0.477293,0.466016,0.387454,0.382374,0.359123,0.328476,0.323813,0.2387,0.207445,0.175506,0.113163,0.220762,0.443742
2014,7,3,0.529468,0.652017,0.770901,0.805254,0.750518,0.666669,0.72564,0.707657,0.740055,0.666911,0.68926,0.714735,0.725289,0.759188,0.771238,0.784065,0.748358,0.718533,0.723703,0.779273,0.842605,0.937829,0.966101,0.970351
2014,7,4,0.967319,0.980309,0.981754,0.984279,0.986009,0.983234,0.980312,0.974488,0.978356,0.981533,0.985106,0.984119,0.976593,0.966687,0.955,0.932455,0.925576,0.883075,0.839542,0.823383,0.784029,0.818575,0.729525,0.709362
2014,7,5,0.69864,0.681813,0.691706,0.660881,0.647164,0.612011,0.66823,0.725897,0.775079,0.805874,0.808252,0.792313,0.776614,0.716391,0.665465,0.574448,0.529029,0.559271,0.544128,0.582275,0.587533,0.441424,0.472323,0.398136
2014,7,6,0.29528,0.25903,0.169572,0.135186,0.127753,0.10467,0.069234,0.047656,0.059364,0.111985,0.137891,0.100149,0.092395,0.134934,0.324069,0.581696,0.654605,0.62774,0.634273,0.67983,0.638008,0.634519,0.749692,0.768348
2014,7,7,0.669537,0.584483,0.383459,0.255057,0.183302,0.097885,0.119377,0.167607,0.216628,0.227785,0.274535,0.248425,0.276664,0.271988,0.20459,0.173423,0.138178,0.149603,0.195371,0.185275,0.130404,0.105551,0.056628,0.04019
2014,7,8,0.120195,0.172972,0.189098,0.225873,0.281462,0.348646,0.33072,0.405447,0.512805,0.516075,0.558472,0.478283,0.479635,0.551896,0.561129,0.611702,0.696264,0.775763,0.827927,0.854031,0.929175,0.961413,0.970598,0.959933
2014,7,9,0.960629,0.927623,0.897937,0.913987,0.911612,0.956223,0.870445,0.900475,0.941931,0.959695,0.969357,0.971778,0.965582,0.979304,0.987605,0.978456,0.990541,0.984569,0.986652,0.981838,0.983818,0.989552,0.98638,0.976749
2014,7,10,0.964032,0.949337,0.954179,0.901242,0.837284,0.818697,0.620792,0.759007,0.851353,0.909897,0.920084,0.925496,0.928591,0.898983,0.853285,0.88098,0.867016,0.788628,0.918757,0.879718,0.690857,0.697323,0.657236,0.874148
2014,7,11,0.833238,0.627975,0.778485,0.823065,0.871613,0.530926,0.70724,0.490692,0.779341,0.661005,0.615592,0.625155,0.786098,0.571,0.488645,0.38499,0.346671,0.305918,0.358833,0.367718,0.367638,0.357032,0.447232,0.57086
2014,7,12,0.58276,0.565671,0.549376,0.41754,0.401803,0.333603,0.295651,0.244253,0.275003,0.361758,0.349645,0.379632,0.330873,0.310009,0.3566,0.335531,0.316878,0.260839,0.215095,0.223143,0.158649,0.066897,0.027425,0.037454
