Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2014,7,1,0.828709,0.78038,0.680437,0.537714,0.335258,0.287811,0.36014,0.411846,0.420704,0.406493,0.386618,0.363967,0.401921,0.441866,0.404086,0.336566,0.3171,0.324747,0.34054,0.343135,0.358492,0.3389,0.307424,0.313544
2014,7,2,0.9406,0.943082,0.968625,0.954114,0.986987,0.913418,0.850409,0.891994,0.999242,0.997974,0.998108,0.997646,0.971054,0.957875,0.975234,0.967453,0.950967,0.956632,0.964054,0.966739,0.975351,0.965144,0.985484,0.977973
2014,7,3,0.974962,0.968547,0.970095,0.950712,0.963974,0.982376,0.978123,0.934112,0.96977,0.995672,0.994735,0.985016,0.98923,0.985225,0.972253,0.972953,0.974136,0.944412,0.915286,0.902658,0.897681,0.859028,0.828535,0.838155
2014,7,4,0.825562,0.920995,0.933767,0.96865,0.959249,0.8748,0.749779,0.776407,0.753084,0.760747,0.720683,0.715017,0.731756,0.761002,0.827983,0.827268,0.790921,0.760228,0.788604,0.790971,0.812264,0.832717,0.835267,0.921306
2014,7,5,0.967198,0.972424,0.975067,0.955831,0.867465,0.846772,0.818912,0.836614,0.903487,0.940629,0.951361,0.956948,0.917141,0.767444,0.43056,0.246392,0.27108,0.336944,0.29822,0.186454,0.165778,0.133595,0.103537,0.181249
2014,7,6,0.158639,0.155783,0.141983,0.118239,0.119413,0.116554,0.149343,0.138896,0.119029,0.088835,0.08601,0.096455,0.105313,0.12125,0.131826,0.140838,0.16954,0.23625,0.305507,0.329458,0.319616,0.32382,0.276811,0.162148
2014,7,7,0.138961,0.253775,0.316415,0.299226,0.232846,0.169558,0.209759,0.243936,0.337237,0.263344,0.160944,0.105539,0.086564,0.063634,0.055762,0.037283,0.02312,0.020413,0.013976,0.018231,0.039348,0.044974,0.033326,0.028611
2014,7,8,0.057618,0.06109,0.080751,0.07945,0.074868,0.054534,0.112896,0.133226,0.168848,0.198054,0.198236,0.175967,0.150416,0.148255,0.163632,0.199365,0.250396,0.324545,0.412542,0.505285,0.582637,0.654248,0.674158,0.677178
2014,7,9,0.310647,0.20905,0.217884,0.174103,0.126516,0.087803,0.101712,0.116203,0.16796,0.267552,0.393217,0.511462,0.539602,0.598229,0.602209,0.584467,0.542051,0.526734,0.498234,0.505639,0.51923,0.557452,0.563541,0.480723
2014,7,10,0.25005,0.309771,0.330653,0.368285,0.442741,0.442942,0.601812,0.830999,0.99149,0.972126,0.75071,0.816432,0.491217,0.269183,0.19569,0.142196,0.104651,0.149979,0.100278,0.116256,0.152327,0.221521,0.294845,0.286622
2014,7,11,0.491051,0.622812,0.676052,0.832287,0.916882,0.957231,0.973489,0.984821,0.988269,0.995128,0.997302,0.998209,0.998646,0.998814,0.995235,0.996361,0.999754,0.999732,0.999573,0.99993,0.999958,0.999274,0.99931,1
2014,7,12,0.99995,0.997742,0.999987,0.999439,0.994673,0.991625,0.973834,0.981246,0.983154,0.982581,0.973051,0.972092,0.950827,0.950392,0.926225,0.935186,0.916917,0.96471,0.961173,0.747808,0.69597,0.870422,0.937437,0.954671
2014,7,13,0.956162,0.974485,0.953993,0.94335,0.947332,0.942509,0.928722,0.956897,0.906032,0.886339,0.878451,0.860637,0.833154,0.821741,0.742916,0.646398,0.584948,0.499451,0.327694,0.324753,0.262455,0.261956,0.20522,0.127479
2014,7,14,0.11359,0.147818,0.127349,0.147433,0.17287,0.173365,0.209072,0.301199,0.329953,0.347655,0.377525,0.402523,0.378998,0.365554,0.346221,0.370842,0.365596,0.375102,0.333922,0.360512,0.385311,0.464155,0.460035,0.388072
2014,7,15,0.272131,0.180412,0.114346,0.083196,0.058444,0.021113,0.019181,0.033547,0.060028,0.05818,0.071959,0.07929,0.095763,0.100649,0.069002,0.038144,0.029358,0.03804,0.048646,0.051595,0.036977,0.033986,0.055459,0.034211
2014,7,16,0.009063,0.005227,0.006699,0.007622,0.013692,0.018494,0.024751,0.024458,0.014183,0.009213,0.010831,0.006289,0.018951,0.014507,0.022323,0.024407,0.027712,0.021007,0.030075,0.030762,0.030138,0.012034,0.011152,0.003944
2014,7,17,0,0.001813,0.002577,0.002638,0.002483,0.005281,0.009546,0.002002,0.007314,0.005388,0.019694,0.037312,0.040079,0.05912,0.056561,0.055345,0.061295,0.092577,0.189931,0.312422,0.488704,0.629256,0.482101,0.218804
2014,7,18,0.21909,0.293602,0.341097,0.376188,0.291344,0.24883,0.232787,0.136146,0.10568,0.064757,0.043075,0.019614,0.015965,0.02142,0.04148,0.080942,0.138937,0.182139,0.279305,0.425952,0.560474,0.705605,0.811923,0.779692
2014,7,19,0.787886,0.844957,0.81109,0.810948,0.868566,0.861714,0.928815,0.969025,0.955485,0.978508,0.988482,0.975386,0.979558,0.993083,0.984802,0.973483,0.937271,0.939424,0.945648,0.95427,0.944072,0.927595,0.919158,0.924136
