Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2014,7,1,0.585249,0.508685,0.300665,0.176498,0.092887,0.077977,0.08543,0.077561,0.112783,0.112695,0.115545,0.107876,0.124089,0.102437,0.105977,0.147339,0.117801,0.030297,0,0,0,0,0.021831,0.021521
2014,7,2,0.581398,0.460362,0.567116,0.771556,0.567657,0.516037,0.680917,0.619067,0.762961,0.489716,0.78625,0.474418,0.495085,0.264159,0.458864,0.473738,0.357655,0.563087,0.532307,0.375202,0.28151,0.215963,0.235649,0.135874
2014,7,3,0.08323,0.073767,0.07652,0.069553,0.048574,0.085359,0.063432,0.061209,0.021391,0,0,0.018245,0.067835,0.102605,0.143759,0.22358,0.223581,0.436784,0.713768,0.877493,0.724778,0.837796,0.765352,0.632569
2014,7,4,0.549028,0.684425,0.769244,0.828854,0.930731,0.900051,0.900455,0.929444,0.912554,0.909263,0.901313,0.889176,0.809542,0.754309,0.672047,0.632704,0.562511,0.659103,0.495658,0.156781,0.07161,0.386297,0.738901,0.763696
2014,7,5,0.845534,0.819111,0.920565,0.940137,0.972307,0.990827,0.979009,0.981617,0.991371,0.990997,0.979543,0.970072,0.974939,0.978626,0.959887,0.958863,0.968376,0.953135,0.914312,0.944968,0.892898,0.922037,0.806508,0.807292
2014,7,6,0.745978,0.604193,0.411181,0.279114,0.21452,0.363962,0.20494,0.143769,0.136568,0.137634,0.159274,0.206045,0.437025,0.591511,0.437228,0.510238,0.379316,0.183845,0.310619,0.360396,0.218084,0.552566,0.347353,0.449689
2014,7,7,0.537179,0.770233,0.714493,0.871948,0.655028,0.666899,0.523667,0.397162,0.291621,0.220821,0.109516,0.016661,0,0,0,0,0,0,0,0,0.084532,0.145459,0.102137,0.043066
2014,7,8,0,0,0.036795,0.050809,0.04597,0.041911,0.020478,0.032403,0.171626,0.308805,0.422365,0.480357,0.528523,0.545832,0.564023,0.551074,0.687089,0.729713,0.779548,0.790664,0.756744,0.729116,0.733699,0.773971
2014,7,9,0.815902,0.767174,0.79834,0.705118,0.559404,0.41318,0.364476,0.40481,0.460978,0.489324,0.506622,0.48124,0.595076,0.606072,0.602104,0.5706,0.526986,0.494854,0.48723,0.47623,0.463898,0.430047,0.433521,0.475296
2014,7,10,0.553873,0.514008,0.442974,0.352757,0.326367,0.310807,0.410499,0.525664,0.789017,0.898392,0.958973,0.985319,0.960714,0.994487,0.517266,0.93146,0.922428,0.97322,0.985613,0.977588,0.963024,0.966179,0.985962,0.965836
2014,7,11,0.963429,0.639178,0.331516,0.123909,0.17924,0.162069,0.216225,0.7257,0.851483,0.786689,0.835337,0.856377,0.844349,0.847353,0.9328,0.944026,0.957775,0.946928,0.893548,0.895873,0.899928,0.902032,0.922344,0.925474
2014,7,12,0.951144,0.94302,0.974925,0.98154,0.96773,0.977109,0.970435,0.961096,0.911508,0.75525,0.81832,0.853902,0.760156,0.665,0.643577,0.500923,0.50385,0.595991,0.785313,0.418324,0.63377,0.637869,0.808133,0.890691
2014,7,13,0.709106,0.507393,0.671861,0.765309,0.798321,0.71264,0.866175,0.938248,0.868759,0.938458,0.869225,0.503316,0.69769,0.785588,0.776821,0.658283,0.661787,0.346049,0.293493,0.329212,0.261372,0.301287,0.224998,0.256235
2014,7,14,0.323552,0.311709,0.296786,0.287455,0.240642,0.176518,0.164298,0.117564,0.098317,0.107982,0.139273,0.179823,0.258242,0.252826,0.186507,0.132004,0.116958,0.085356,0.067957,0.068431,0.06385,0.074151,0.077938,0.049114
2014,7,15,0.068696,0.07026,0.042231,0,0.019652,0.051547,0.030795,0,0.038063,0.031927,0.031316,0.035159,0.042984,0.059542,0.051353,0.028224,0.048237,0.057558,0.056048,0.022482,0,0,0,0
2014,7,16,0,0,0,0.018555,0.026496,0.031108,0.031586,0,0,0,0.02933,0.067036,0.110969,0.068646,0.072485,0.096758,0.109211,0.121949,0.108834,0.064003,0.088815,0.120352,0.068421,0.017524
2014,7,17,0.023685,0,0,0.052358,0.050896,0.060793,0.026063,0,0,0,0.047766,0.141233,0.137324,0.139808,0.175229,0.184572,0.215457,0.195982,0.151296,0.132534,0.211533,0.243122,0.115312,0.060644
2014,7,18,0.063439,0.016837,0,0,0,0,0.067986,0.23787,0.343972,0.389001,0.450833,0.439893,0.473956,0.447537,0.398024,0.36989,0.473012,0.378701,0.283654,0.302498,0.386041,0.370587,0.279941,0.283552
2014,7,19,0.335602,0.385295,0.459229,0.407525,0.347327,0.270296,0.321598,0.259803,0.275148,0.434048,0.472107,0.392973,0.515238,0.661838,0.692906,0.690817,0.222244,0.306547,0.278036,0.336427,0.351756,0.328778,0.397541,0.546981
2014,7,20,0.608565,0.680048,0.766261,0.638487,0.754124,0.827839,0.795542,0.724072,0.823099,0.744516,0.837044,0.901091,0.8576,0.936652,0.914107,0.947508,0.88515,0.877782,0.971165,0.970531,0.980276,0.983032,0.994361,0.997601
2014,7,21,0.997436,0.999045,0.997147,0.985853,0.95887,0.771369,0.722798,0.443081,0.306272,0.224734,0.125833,0.03164,0.019853,0.064413,0.137708,0.125853,0.146091,0.176708,0.224123,0.174502,0.156834,0.164683,0.106063,0.035193
2014,7,22,0.065198,0.058236,0.053835,0.019386,0,0,0.022668,0.03294,0.103223,0.362145,0.635834,0.715088,0.892521,0.522706,0.407592,0.47227,0.615305,0.59669,0.580402,0.545972,0.500118,0.459616,0.437282,0.478955
2014,7,23,0.684276,0.561364,0.625585,0.7479,0.367901,0.136146,0.109888,0.038365,0.024222,0.369811,0.70474,0.631084,0.387766,0.348851,0.340215,0.40013,0.419149,0.332166,0.276447,0.153667,0.112632,0.177255,0.145586,0.267427
2014,7,24,0.290493,0.212587,0.104316,0.089036,0.074959,0.041033,0,0,0,0.019973,0.059418,0.064504,0.158067,0.181514,0.184758,0.195304,0.233468,0.290507,0.324591,0.373804,0.411919,0.393897,0.40813,0.658308
2014,7,25,0.872705,0.877588,0.870913,0.873184,0.91265,0.839059,0.76758,0.832454,0.946206,0.982237,0.902182,0.899872,0.554217,0.259154,0.304377,0.289842,0.19807,0.147254,0.046185,0.069099,0.144615,0.236182,0.16246,0.111701
2014,7,26,0.293805,0.394809,0.441213,0.497883,0.539828,0.3722,0.261311,0.350856,0.347096,0.237813,0.209886,0.256074,0.305205,0.244567,0.33887,0.289675,0.257259,0.282528,0.237031,0.215478,0.202558,0.134495,0.101927,0.100139
2014,7,27,0.201914,0.339495,0.394767,0.352816,0.339789,0.318003,0.227591,0.146251,0.135546,0.147631,0.245509,0.500971,0.503077,0.533687,0.6209,0.727666,0.887614,0.895056,0.733398,0.763866,0.723885,0.375025,0.442177,0.596071
