Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2014,7,1,0.060509,0.073296,0.076099,0.056365,0.039595,0.043023,0.083225,0.143137,0.04515,0.039224,0.012624,0.010784,0.029864,0.140869,0.204871,0.210177,0.191853,0.282592,0.299766,0.456275,0.530541,0.443163,0.424224,0.429459
2014,7,2,0.968456,0.986221,0.992625,0.994734,0.992331,0.984996,0.948667,0.925768,0.9262,0.822962,0.969179,0.962843,0.964412,0.957767,0.936971,0.944062,0.948457,0.961987,0.967577,0.963872,0.92171,0.917461,0.922242,0.96096
2014,7,3,0.962824,0.961872,0.964228,0.966356,0.965497,0.965331,0.916439,0.961593,0.969274,0.924517,0.936795,0.717809,0.71701,0.736756,0.754526,0.768899,0.997711,0.997949,0.999074,0.997276,0.996221,0.865964,0.84672,0.875846
2014,7,4,0.986767,0.974221,0.95697,0.93778,0.940563,0.951763,0.964677,0.985034,0.986719,0.982212,0.973439,0.931234,0.93096,0.933673,0.934252,0.944966,0.941468,0.943722,0.93326,0.920051,0.886233,0.861104,0.817685,0.793751
2014,7,5,0.833967,0.89602,0.918938,0.942949,0.931863,0.91976,0.932561,0.968792,0.973303,0.971093,0.97261,0.978281,0.984116,0.983737,0.979082,0.974773,0.980483,0.97908,0.969902,0.950874,0.88835,0.815237,0.735946,0.647005
2014,7,6,0.52893,0.346596,0.246011,0.217646,0.167513,0.187418,0.296507,0.327184,0.264568,0.324845,0.303478,0.272095,0.186114,0.104277,0.055753,0.036126,0.028629,0.026733,0.024602,0.025187,0.026422,0.02896,0.046027,0.062434
2014,7,7,0.097514,0.050905,0.045895,0.054901,0.056427,0.073158,0.040728,0.035377,0.050014,0.13435,0.145819,0.15717,0.23036,0.362964,0.517323,0.553792,0.586504,0.531777,0.518878,0.498106,0.48263,0.420306,0.56314,0.590336
2014,7,8,0.406441,0.302503,0.24013,0.227623,0.236979,0.220798,0.32419,0.506296,0.553946,0.559597,0.573598,0.559512,0.540725,0.509193,0.502872,0.489204,0.487712,0.52949,0.541982,0.509529,0.568529,0.617587,0.757068,0.8101
2014,7,9,0.654273,0.584397,0.543907,0.516368,0.534639,0.507508,0.498541,0.56674,0.611139,0.613923,0.626721,0.610331,0.616344,0.552176,0.531345,0.517866,0.505963,0.510169,0.503429,0.466037,0.43595,0.370366,0.40568,0.475886
2014,7,10,0.337927,0.332513,0.295124,0.290457,0.285157,0.23735,0.235974,0.334352,0.389563,0.473494,0.590758,0.745746,0.783377,0.773982,0.800922,0.814495,0.792822,0.776837,0.967902,0.962301,0.923129,0.928618,0.978707,0.969187
2014,7,11,0.964135,0.95545,0.923607,0.883543,0.909301,0.861752,0.838222,0.905693,0.904518,0.814324,0.790247,0.770767,0.774738,0.689257,0.625777,0.668456,0.659017,0.683642,0.671156,0.685763,0.6853,0.613539,0.558529,0.399115
2014,7,12,0.29175,0.267358,0.248809,0.194996,0.145349,0.099735,0.178069,0.248589,0.294183,0.307965,0.380477,0.405184,0.459852,0.575712,0.600295,0.638827,0.528955,0.547731,0.616138,0.729135,0.821407,0.838603,0.803183,0.773758
2014,7,13,0.804545,0.832317,0.860811,0.919521,0.913964,0.880769,0.794603,0.837769,0.901615,0.89748,0.890927,0.919335,0.923211,0.898571,0.873,0.799041,0.732815,0.686841,0.623205,0.579024,0.498431,0.518831,0.512906,0.586425
2014,7,14,0.714426,0.76576,0.8118,0.806742,0.764787,0.70333,0.61354,0.625973,0.689735,0.773001,0.8182,0.843056,0.823135,0.830871,0.911006,0.900875,0.873483,0.854525,0.824443,0.813988,0.816765,0.805711,0.862229,0.893493
2014,7,15,0.907218,0.810942,0.788635,0.714227,0.574278,0.467525,0.536641,0.594577,0.646924,0.61616,0.563291,0.465768,0.408583,0.383381,0.406666,0.421301,0.388075,0.361655,0.335739,0.36582,0.365248,0.284541,0.206599,0.176893
2014,7,16,0.085511,0.045679,0.025793,0.012389,0.009199,0.009499,0,0.010729,0.021857,0.015714,0.032412,0.046577,0.069602,0.107571,0.078501,0.097099,0.097059,0.114836,0.114881,0.180923,0.271998,0.31342,0.367968,0.410083
2014,7,17,0.265913,0.206898,0.205229,0.213493,0.211472,0.228612,0.377289,0.415359,0.422386,0.406743,0.417718,0.452698,0.491671,0.527412,0.506825,0.458428,0.435733,0.432649,0.455733,0.517225,0.474568,0.470699,0.914053,0.768494
2014,7,18,0.20827,0.579745,0.319834,0.203054,0.304942,0.01943,0.116847,0.200237,0.112226,0.078844,0.068406,0.109145,0.084592,0.121945,0.074931,0.096674,0.047846,0.051382,0.040627,0.036318,0.040588,0.106975,0.077746,0.093881
2014,7,19,0.176439,0.457167,0.524688,0.497974,0.529146,0.497668,0.427038,0.557604,0.599667,0.646747,0.675169,0.68523,0.673238,0.684023,0.685289,0.698996,0.688884,0.667672,0.614323,0.594044,0.549656,0.556384,0.660373,0.732873
2014,7,20,0.675132,0.685735,0.676146,0.709291,0.708394,0.67223,0.650655,0.67445,0.643733,0.623093,0.612282,0.60397,0.565181,0.497298,0.473528,0.466544,0.446697,0.465453,0.46789,0.490292,0.534319,0.591564,0.684939,0.777141
2014,7,21,0.716477,0.721811,0.728216,0.74608,0.774041,0.771017,0.795793,0.887708,0.922914,0.940497,0.948306,0.950771,0.946497,0.929064,0.922275,0.897968,0.871583,0.877442,0.88779,0.895425,0.90873,0.911965,0.911793,0.874712
2014,7,22,0.843188,0.885124,0.926402,0.954193,0.958933,0.938682,0.921584,0.964657,0.982064,0.986659,0.992007,0.993513,0.992377,0.994739,0.993305,0.921122,0.839911,0.861353,0.990938,0.944615,0.994193,0.993618,0.997177,0.998579
2014,7,23,0.999483,0.99692,0.995376,0.987016,0.990223,0.842934,0.97927,0.991293,0.991517,0.986182,0.957448,0.971525,0.965388,0.964182,0.927733,0.916629,0.884036,0.843531,0.782044,0.736684,0.653158,0.65736,0.641244,0.733489
2014,7,24,0.866485,0.852285,0.72648,0.641993,0.597725,0.541704,0.424846,0.532232,0.573297,0.5411,0.429611,0.353317,0.222695,0.16415,0.160831,0.248643,0.368848,0.432223,0.371821,0.302279,0.231368,0.168595,0.086773,0.034113
2014,7,25,0.010537,0.019312,0.015492,0.022817,0.035146,0.038597,0.044613,0.042454,0.038146,0.045478,0.05297,0.053358,0.072252,0.233938,0.301915,0.359925,0.405088,0.537932,0.634563,0.703206,0.707805,0.744243,0.895926,0.94656
2014,7,26,0.935358,0.785628,0.763338,0.727772,0.999866,0.878607,0.951774,0.950053,0.995112,0.740868,0.732296,0.734727,0.682224,0.569997,0.772648,0.762809,0.76089,0.75706,0.748306,0.741247,0.767002,0.760505,0.70324,0.487356
2014,7,27,0.319739,0.288203,0.280228,0.190845,0.134659,0.13664,0.154208,0.291889,0.401734,0.524603,0.606577,0.597238,0.621886,0.638125,0.633975,0.617354,0.576862,0.620587,0.567513,0.589328,0.610255,0.561181,0.510857,0.548238
2014,7,28,0.598851,0.649755,0.752562,0.798537,0.773586,0.757092,0.694965,0.816886,0.852505,0.794674,0.750227,0.742127,0.72359,0.708873,0.710394,0.729787,0.678911,0.631657,0.629773,0.628155,0.609806,0.564509,0.661053,0.57621
2014,7,29,0.615757,0.607132,0.548842,0.421206,0.304019,0.212159,0.198599,0.340686,0.424156,0.47411,0.521368,0.580804,0.577319,0.601439,0.665972,0.697188,0.7084,0.726973,0.705649,0.663949,0.623928,0.575169,0.515259,0.208108
2014,7,30,0.139571,0.115686,0.091658,0.084505,0.087789,0.077409,0.10182,0.258543,0.219931,0.223341,0.191735,0.16829,0.157398,0.186936,0.158366,0.160738,0.186796,0.216109,0.081226,0.095133,0.191494,0.216658,0.26501,0.225096
2014,7,31,0.243687,0.306693,0.43745,0.483787,0.487102,0.485129,0.553046,0.735816,0.769867,0.792508,0.774058,0.754598,0.750113,0.790861,0.789622,0.791184,0.791298,0.810039,0.795378,0.847628,0.822927,0.782379,0.763396,0.765565
2014,8,1,0.726526,0.7363,0.66127,0.778118,0.828567,0.810073,0.719613,0.753686,0.803539,0.863811,0.882556,0.845203,0.78901,0.780168,0.713556,0.639741,0.562908,0.551225,0.548044,0.57386,0.560638,0.507937,0.481499,0.330573
2014,8,2,0.387751,0.453243,0.499943,0.573425,0.628398,0.69333,0.67221,0.742886,0.734723,0.72005,0.681095,0.627058,0.541565,0.446634,0.28327,0.302048,0.224069,0.126457,0.064022,0.067131,0.035734,0.055393,0.041224,0.02559
2014,8,3,0.049356,0.113501,0.167507,0.228297,0.252481,0.283283,0.277986,0.444133,0.477589,0.502507,0.507033,0.579968,0.652617,0.712365,0.755349,0.771232,0.799978,0.86188,0.911183,0.938867,0.928236,0.896764,0.83355,0.801612
2014,8,4,0.775007,0.734482,0.988502,0.98537,0.973616,0.924203,0.758282,0.782321,0.613693,0.376832,0.263389,0.272442,0.109047,0.101977,0.040025,0.033367,0.064346,0.1266,0.236443,0.342304,0.443691,0.535101,0.534705,0.459265
2014,8,5,0.450411,0.594192,0.679294,0.716719,0.588788,0.45658,0.322117,0.351086,0.258855,0.242472,0.243759,0.292636,0.340754,0.343483,0.343246,0.323746,0.318445,0.329238,0.266145,0.246707,0.203759,0.141914,0.110774,0.055763
2014,8,6,0.05506,0.06646,0.072147,0.068853,0.074504,0.078323,0.041979,0.041044,0.044042,0.121695,0.062808,0.016705,0.070753,0.132199,0.055136,0.088603,0.107651,0.09515,0.093966,0.20161,0.217563,0.227699,0.122348,0.143955
2014,8,7,0.155729,0.17735,0.166196,0.134835,0.093506,0.077146,0.066983,0.155438,0.249376,0.342614,0.423854,0.526901,0.61556,0.673022,0.728088,0.724267,0.73698,0.748909,0.780605,0.812183,0.865682,0.869249,0.899687,0.93593
2014,8,8,0.977629,0.988808,0.993254,0.994196,0.993996,0.991793,0.863395,0.521984,0.798549,0.768401,0.714337,0.682435,0.697757,0.662504,0.549212,0.554076,0.576233,0.63809,0.660093,0.811795,0.859318,0.90236,0.930583,0.798955
2014,8,9,0.547135,0.349933,0.231468,0.16387,0.148627,0.132359,0.042824,0.033902,0.05109,0.104121,0.159837,0.19677,0.179991,0.164215,0.160399,0.151983,0.153759,0.189055,0.164465,0.157483,0.17576,0.188746,0.124872,0.060441
2014,8,10,0.047143,0.037053,0.020067,0.013906,0.021983,0.030479,0.062067,0.150549,0.219093,0.303633,0.325266,0.335804,0.358782,0.332624,0.333842,0.322891,0.298508,0.312482,0.323757,0.312942,0.328069,0.29574,0.311551,0.215864
2014,8,11,0.128186,0.079762,0.064803,0.05389,0.05197,0.060503,0.102005,0.208866,0.291707,0.337526,0.411766,0.493774,0.516267,0.477876,0.530732,0.529818,0.490305,0.729213,0.576747,0.45466,0.497741,0.598192,0.570792,0.643748
2014,8,12,0.751593,0.876303,0.895353,0.835405,0.684718,0.47777,0.384809,0.336704,0.382046,0.28387,0.176608,0.1649,0.189662,0.214092,0.188134,0.283827,0.259249,0.220718,0.258419,0.305037,0.253399,0.270752,0.352551,0.429513
2014,8,13,0.582564,0.649494,0.721758,0.762764,0.768817,0.76072,0.658649,0.707938,0.627484,0.549923,0.565083,0.6711,0.649452,0.612285,0.630759,0.595775,0.539838,0.480434,0.453037,0.481022,0.50891,0.555922,0.589841,0.574001
2014,8,14,0.541628,0.525113,0.458257,0.482251,0.522446,0.56828,0.525338,0.653088,0.663318,0.664381,0.643011,0.630082,0.611732,0.555749,0.517647,0.50589,0.478651,0.418126,0.385682,0.370314,0.351021,0.371747,0.214212,0.132761
2014,8,15,0.138603,0.195684,0.234489,0.3032,0.332922,0.270561,0.194317,0.336788,0.32353,0.358094,0.336257,0.270636,0.188326,0.287209,0.301417,0.315376,0.324245,0.326324,0.342521,0.342632,0.350656,0.402145,0.423528,0.465009
2014,8,16,0.599032,0.620316,0.559009,0.471167,0.310343,0.196673,0.187274,0.256598,0.239046,0.297513,0.29863,0.314477,0.335194,0.388549,0.450906,0.497331,0.536647,0.593927,0.702886,0.800888,0.853328,0.905176,0.899351,0.802145
2014,8,17,0.897798,0.907359,0.929992,0.960021,0.990844,0.994503,0.998759,0.992664,0.993641,0.996866,0.996309,0.997189,0.993734,0.970296,0.705641,0.588116,0.737344,0.766708,0.763211,0.760836,0.747962,0.792557,0.889373,0.887112
2014,8,18,0.841131,0.855034,0.89162,0.925233,0.951348,0.951107,0.880644,0.767085,0.773226,0.74222,0.676821,0.625818,0.601236,0.606412,0.516473,0.39603,0.250399,0.1719,0.143777,0.110679,0.093994,0.088049,0.009268,0.00952
2014,8,19,0.007946,0.008189,0.030682,0.036878,0.040239,0.051034,0.009149,0.008992,0.032621,0.027222,0.037193,0.037284,0.039465,0.05472,0.061188,0.088277,0.131451,0.198986,0.210039,0.221687,0.229871,0.2175,0.068343,0.074521
2014,8,20,0.097509,0.103894,0.104792,0.13087,0.108455,0.092062,0.038076,0.146332,0.104232,0.151528,0.167094,0.190831,0.162321,0.30113,0.362226,0.405156,0.416105,0.432104,0.477671,0.45815,0.441854,0.416383,0.409229,0.473546
2014,8,21,0.367025,0.274079,0.308072,0.319251,0.262029,0.199969,0.143408,0.149032,0.080871,0.222164,0.270855,0.290058,0.329009,0.354472,0.374226,0.434051,0.510062,0.555957,0.665575,0.782246,0.858727,0.933365,0.956143,0.989486
2014,8,22,0.996,0.998417,0.998354,0.995943,0.994652,1,0.881205,0.76465,0.822041,0.712116,0.997404,0.991735,0.908319,0.739035,0.646669,0.805687,0.811491,0.790326,0.639706,0.568095,0.488779,0.363793,0.256512,0.341952
2014,8,23,0.347575,0.566946,0.67603,0.710963,0.711878,0.709475,0.335843,0.581941,0.542926,0.563393,0.52513,0.685095,0.862719,0.857905,0.853058,0.849391,0.780565,0.720648,0.687634,0.671163,0.676039,0.627895,0.638943,0.731117
2014,8,24,0.811397,0.873661,0.939347,0.949747,0.949301,0.931726,0.788959,0.808999,0.887817,0.954298,0.98557,0.972251,0.955326,0.884449,0.838458,0.828024,0.703113,0.829361,0.79286,0.791252,0.73214,0.715912,0.756321,0.844754
2014,8,25,0.917978,0.951241,0.961161,0.992767,0.99362,0.787023,0.740922,0.736535,0.990906,0.992618,0.992887,0.990511,0.990609,0.917369,0.799105,0.575923,0.539972,0.514218,0.960082,0.995136,0.988039,0.991548,0.982531,0.887433
2014,8,26,0.912605,0.948486,0.97302,0.901403,0.953439,0.938806,0.900778,0.922003,0.942377,0.973709,0.909268,0.79716,0.747919,0.712403,0.581202,0.246024,0.521069,0.893363,0.988339,0.914336,0.907118,0.930349,0.896071,0.912241
2014,8,27,0.921033,0.942097,0.946086,0.944516,0.944271,0.93497,0.882182,0.899985,0.853073,0.733025,0.905744,0.877287,0.865434,0.801557,0.755921,0.744668,0.732047,0.723501,0.722645,0.735134,0.72494,0.732124,0.704565,0.69909
2014,8,28,0.739538,0.74608,0.756205,0.736852,0.689165,0.587422,0.431534,0.491185,0.563157,0.704172,0.771022,0.758513,0.726281,0.676125,0.579614,0.520487,0.423258,0.356144,0.350094,0.353207,0.289312,0.334027,0.353469,0.347136
